"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"GOTERM_BP_DIRECT","negative regulation of apoptotic process","2.26%","76","1683","515","19478","4.87e-6","1.92e-3","1.71","2.32e-2","1.90e-3","2.69e-6"
"GOTERM_BP_DIRECT","mRNA splicing, via spliceosome","1.13%","38","1683","197","19478","5.17e-6","1.92e-3","2.23","2.46e-2","1.90e-3","2.02e-6"
"GOTERM_CC_DIRECT","mitochondrion","5.78%","194","1728","1721","20795","6.79e-6","3.24e-4","1.36","6.45e-3","3.03e-4","5.00e-6"
"GOTERM_BP_DIRECT","protein transport","2.17%","73","1683","496","19478","8.61e-6","2.91e-3","1.70","4.06e-2","2.90e-3","4.54e-6"
"GOTERM_BP_DIRECT","positive regulation of transcription by RNA polymerase II","4.41%","148","1683","1205","19478","9.07e-6","2.91e-3","1.42","4.27e-2","2.90e-3","6.06e-6"
"GOTERM_CC_DIRECT","adherens junction","1.04%","35","1728","188","20795","1.25e-5","5.59e-4","2.24","1.19e-2","5.23e-4","4.90e-6"
"GOTERM_CC_DIRECT","perinuclear region of cytoplasm","2.89%","97","1728","750","20795","1.29e-5","5.59e-4","1.56","1.22e-2","5.23e-4","7.83e-6"
"GOTERM_CC_DIRECT","catalytic step 2 spliceosome","0.66%","22","1728","92","20795","1.63e-5","6.76e-4","2.88","1.54e-2","6.33e-4","4.66e-6"
"GOTERM_BP_DIRECT","protein ubiquitination","1.94%","65","1683","439","19478","2.30e-5","6.93e-3","1.71","1.05e-1","6.89e-3","1.24e-5"
"GOTERM_MF_DIRECT","phosphoprotein phosphatase activity","0.51%","17","1709","57","19253","2.37e-5","3.84e-3","3.36","3.76e-2","3.77e-3","5.43e-6"
"GOTERM_BP_DIRECT","mRNA processing","1.37%","46","1683","276","19478","2.48e-5","7.01e-3","1.93","1.12e-1","6.97e-3","1.15e-5"
"GOTERM_MF_DIRECT","miRNA inhibitor activity via base-pairing","0.21%","7","1709","9","19253","3.21e-5","4.73e-3","8.76","5.07e-2","4.65e-3","1.32e-6"
"GOTERM_BP_DIRECT","DNA damage response","1.49%","50","1683","313","19478","3.30e-5","8.83e-3","1.85","1.47e-1","8.78e-3","1.62e-5"
"GOTERM_BP_DIRECT","protein glycosylation","0.77%","26","1683","122","19478","3.78e-5","9.58e-3","2.47","1.66e-1","9.53e-3","1.30e-5"
"GOTERM_CC_DIRECT","centrosome","2.59%","87","1728","674","20795","4.14e-5","1.64e-3","1.55","3.87e-2","1.54e-3","2.44e-5"
"GOTERM_BP_DIRECT","viral protein processing","0.36%","12","1683","32","19478","4.51e-5","1.09e-2","4.34","1.95e-1","1.08e-2","7.30e-6"
"GOTERM_MF_DIRECT","cytoskeletal protein binding","0.48%","16","1709","54","19253","4.83e-5","6.54e-3","3.34","7.54e-2","6.42e-3","1.12e-5"
"GOTERM_MF_DIRECT","nucleic acid binding","1.43%","48","1709","295","19253","5.88e-5","7.17e-3","1.83","9.09e-2","7.04e-3","2.89e-5"
"GOTERM_BP_DIRECT","protein polyubiquitination","0.86%","29","1683","148","19478","6.08e-5","1.39e-2","2.27","2.54e-1","1.39e-2","2.32e-5"
"GOTERM_MF_DIRECT","transcription coregulator activity","0.80%","27","1709","130","19253","6.51e-5","7.17e-3","2.34","1.00e-1","7.04e-3","2.38e-5"
"GOTERM_MF_DIRECT","transcription corepressor activity","1.10%","37","1709","207","19253","6.86e-5","7.17e-3","2.01","1.05e-1","7.04e-3","3.02e-5"
"GOTERM_MF_DIRECT","ATP binding","5.39%","181","1709","1546","19253","7.07e-5","7.17e-3","1.32","1.08e-1","7.04e-3","4.73e-5"
"GOTERM_BP_DIRECT","negative regulation of transcription by RNA polymerase II","3.51%","118","1683","958","19478","7.24e-5","1.58e-2","1.43","2.94e-1","1.57e-2","4.86e-5"
"GOTERM_CC_DIRECT","ubiquitin ligase complex","0.68%","23","1728","109","20795","7.74e-5","2.95e-3","2.54","7.12e-2","2.76e-3","2.59e-5"
"GOTERM_MF_DIRECT","DNA-binding transcription factor binding","0.95%","32","1709","169","19253","7.74e-5","7.24e-3","2.13","1.18e-1","7.12e-3","3.17e-5"
"GOTERM_MF_DIRECT","DNA binding","5.24%","176","1709","1500","19253","8.03e-5","7.24e-3","1.32","1.22e-1","7.12e-3","5.32e-5"
"GOTERM_CC_DIRECT","postsynaptic density","1.22%","41","1728","257","20795","8.37e-5","3.07e-3","1.92","7.68e-2","2.88e-3","3.93e-5"
"GOTERM_BP_DIRECT","protein autoubiquitination","0.54%","18","1683","71","19478","8.68e-5","1.77e-2","2.93","3.42e-1","1.76e-2","2.40e-5"
"GOTERM_BP_DIRECT","protein phosphorylation","1.34%","45","1683","282","19478","8.82e-5","1.77e-2","1.85","3.46e-1","1.76e-2","4.31e-5"
"GOTERM_BP_DIRECT","regulation of translation","0.71%","24","1683","114","19478","9.77e-5","1.81e-2","2.44","3.75e-1","1.80e-2","3.42e-5"
"GOTERM_BP_DIRECT","apoptotic process","2.56%","86","1683","656","19478","9.80e-5","1.81e-2","1.52","3.76e-1","1.80e-2","6.14e-5"
"GOTERM_MF_DIRECT","small GTPase binding","1.40%","47","1709","293","19253","1.00e-4","8.57e-3","1.81","1.50e-1","8.42e-3","5.02e-5"
"GOTERM_BP_DIRECT","regulation of cellular response to heat","0.24%","8","1683","15","19478","1.22e-4","2.18e-2","6.17","4.45e-1","2.17e-2","1.13e-5"
"GOTERM_CC_DIRECT","anchoring junction","0.54%","18","1728","76","20795","1.33e-4","4.69e-3","2.85","1.19e-1","4.39e-3","3.84e-5"
"GOTERM_BP_DIRECT","positive regulation of ATP-dependent activity","0.30%","10","1683","25","19478","1.49e-4","2.56e-2","4.63","5.12e-1","2.54e-2","2.20e-5"
"GOTERM_CC_DIRECT","actin cytoskeleton","1.31%","44","1728","291","20795","1.56e-4","5.30e-3","1.82","1.38e-1","4.97e-3","7.73e-5"
"GOTERM_CC_DIRECT","nuclear membrane","1.25%","42","1728","274","20795","1.66e-4","5.46e-3","1.84","1.46e-1","5.11e-3","8.15e-5"
"GOTERM_CC_DIRECT","P-body","0.63%","21","1728","100","20795","1.83e-4","5.83e-3","2.53","1.60e-1","5.45e-3","6.16e-5"
"GOTERM_CC_DIRECT","stress fiber","0.57%","19","1728","86","20795","2.09e-4","6.43e-3","2.66","1.81e-1","6.02e-3","6.59e-5"
"GOTERM_CC_DIRECT","early endosome","1.37%","46","1728","315","20795","2.42e-4","6.64e-3","1.76","2.06e-1","6.21e-3","1.25e-4"
"GOTERM_CC_DIRECT","melanosome","0.63%","21","1728","102","20795","2.42e-4","6.64e-3","2.48","2.06e-1","6.21e-3","8.34e-5"
"GOTERM_CC_DIRECT","cytoplasmic stress granule","0.63%","21","1728","102","20795","2.42e-4","6.64e-3","2.48","2.06e-1","6.21e-3","8.34e-5"
"GOTERM_CC_DIRECT","endoplasmic reticulum","4.05%","136","1728","1213","20795","2.44e-4","6.64e-3","1.35","2.07e-1","6.21e-3","1.73e-4"
"GOTERM_MF_DIRECT","protein serine kinase activity","1.61%","54","1709","365","19253","2.49e-4","1.95e-2","1.67","3.32e-1","1.92e-2","1.33e-4"
"GOTERM_MF_DIRECT","SMAD binding","0.42%","14","1709","49","19253","2.52e-4","1.95e-2","3.22","3.36e-1","1.92e-2","6.15e-5"
"GOTERM_MF_DIRECT","histone binding","1.01%","34","1709","197","19253","2.78e-4","1.97e-2","1.94","3.63e-1","1.93e-2","1.27e-4"
"GOTERM_MF_DIRECT","nuclear export signal receptor activity","0.21%","7","1709","12","19253","2.79e-4","1.97e-2","6.57","3.64e-1","1.93e-2","2.28e-5"
"GOTERM_BP_DIRECT","protein stabilization","1.16%","39","1683","246","19478","3.17e-4","5.26e-2","1.83","7.83e-1","5.23e-2","1.56e-4"
"GOTERM_BP_DIRECT","regulation of transcription by RNA polymerase II","5.60%","188","1683","1711","19478","3.55e-4","5.70e-2","1.27","8.19e-1","5.67e-2","2.61e-4"
"GOTERM_MF_DIRECT","I-SMAD binding","0.24%","8","1709","17","19253","3.74e-4","2.51e-2","5.30","4.55e-1","2.47e-2","4.43e-5"
"GOTERM_MF_DIRECT","protein domain specific binding","1.07%","36","1709","217","19253","3.87e-4","2.51e-2","1.87","4.66e-1","2.47e-2","1.85e-4"
"GOTERM_MF_DIRECT","chromatin binding","2.00%","67","1709","491","19253","4.39e-4","2.74e-2","1.54","5.09e-1","2.69e-2","2.63e-4"
"GOTERM_CC_DIRECT","nucleolus","4.59%","154","1728","1423","20795","4.64e-4","1.23e-2","1.30","3.58e-1","1.15e-2","3.56e-4"
"GOTERM_MF_DIRECT","Hsp70 protein binding","0.42%","14","1709","52","19253","4.75e-4","2.85e-2","3.03","5.37e-1","2.80e-2","1.25e-4"
"GOTERM_BP_DIRECT","nucleocytoplasmic transport","0.39%","13","1683","48","19478","6.10e-4","9.48e-2","3.13","9.47e-1","9.42e-2","1.55e-4"
"GOTERM_CC_DIRECT","axon cytoplasm","0.45%","15","1728","64","20795","6.43e-4","1.66e-2","2.82","4.59e-1","1.55e-2","1.88e-4"
"GOTERM_CC_DIRECT","trans-Golgi network","0.89%","30","1728","185","20795","6.63e-4","1.67e-2","1.95","4.69e-1","1.56e-2","3.03e-4"
"GOTERM_MF_DIRECT","ubiquitin protein ligase activity","1.52%","51","1709","355","19253","7.45e-4","4.32e-2","1.62","7.02e-1","4.24e-2","4.12e-4"
"GOTERM_MF_DIRECT","identical protein binding","5.84%","196","1709","1777","19253","8.19e-4","4.58e-2","1.24","7.35e-1","4.50e-2","6.60e-4"
"GOTERM_MF_DIRECT","ubiquitin conjugating enzyme activity","0.33%","11","1709","36","19253","8.70e-4","4.71e-2","3.44","7.56e-1","4.62e-2","1.94e-4"
"GOTERM_BP_DIRECT","ribosomal small subunit biogenesis","0.51%","17","1683","78","19478","8.89e-4","1.31e-1","2.52","9.86e-1","1.31e-1","2.97e-4"
"GOTERM_BP_DIRECT","mRNA transport","0.57%","19","1683","93","19478","9.01e-4","1.31e-1","2.36","9.87e-1","1.31e-1","3.26e-4"
"GOTERM_BP_DIRECT","intracellular iron ion homeostasis","0.48%","16","1683","72","19478","1.08e-3","1.52e-1","2.57","9.94e-1","1.51e-1","3.51e-4"
"GOTERM_CC_DIRECT","nuclear pore","0.57%","19","1728","98","20795","1.09e-3","2.66e-2","2.33","6.45e-1","2.49e-2","4.01e-4"
"GOTERM_BP_DIRECT","rhythmic process","0.54%","18","1683","87","19478","1.11e-3","1.52e-1","2.39","9.95e-1","1.51e-1","3.94e-4"
"GOTERM_MF_DIRECT","transcription corepressor binding","0.39%","13","1709","50","19253","1.15e-3","6.00e-2","2.93","8.44e-1","5.89e-2","3.16e-4"
"GOTERM_BP_DIRECT","chromatin organization","1.13%","38","1683","254","19478","1.16e-3","1.55e-1","1.73","9.96e-1","1.54e-1","6.06e-4"
"GOTERM_CC_DIRECT","small ribosomal subunit","0.27%","9","1728","27","20795","1.18e-3","2.76e-2","4.01","6.75e-1","2.58e-2","2.18e-4"
"GOTERM_CC_DIRECT","paraspeckles","0.18%","6","1728","11","20795","1.18e-3","2.76e-2","6.56","6.77e-1","2.58e-2","1.05e-4"
"GOTERM_BP_DIRECT","regulation of DNA-templated transcription","3.37%","113","1683","980","19478","1.23e-3","1.60e-1","1.33","9.97e-1","1.59e-1","8.81e-4"
"GOTERM_CC_DIRECT","fibrillar center","0.80%","27","1728","166","20795","1.24e-3","2.82e-2","1.96","6.94e-1","2.64e-2","5.65e-4"
"GOTERM_CC_DIRECT","centriolar satellite","0.74%","25","1728","150","20795","1.39e-3","3.09e-2","2.01","7.35e-1","2.89e-2","6.15e-4"
"GOTERM_BP_DIRECT","proteasome-mediated ubiquitin-dependent protein catabolic process","1.31%","44","1683","311","19478","1.41e-3","1.70e-1","1.64","9.99e-1","1.69e-1","7.95e-4"
"GOTERM_BP_DIRECT","lncRNA-mediated post-transcriptional gene silencing","0.18%","6","1683","11","19478","1.41e-3","1.70e-1","6.31","9.99e-1","1.69e-1","1.30e-4"
"GOTERM_BP_DIRECT","GMP metabolic process","0.18%","6","1683","11","19478","1.41e-3","1.70e-1","6.31","9.99e-1","1.69e-1","1.30e-4"
"GOTERM_MF_DIRECT","enzyme binding","1.55%","52","1709","375","19253","1.46e-3","7.39e-2","1.56","9.06e-1","7.26e-2","8.35e-4"
"GOTERM_BP_DIRECT","Golgi to plasma membrane protein transport","0.30%","10","1683","33","19478","1.49e-3","1.73e-1","3.51","9.99e-1","1.72e-1","3.28e-4"
"GOTERM_BP_DIRECT","regulation of circadian rhythm","0.45%","15","1683","67","19478","1.51e-3","1.73e-1","2.59","9.99e-1","1.72e-1","4.88e-4"
"GOTERM_BP_DIRECT","regulation of cell cycle","1.07%","36","1683","241","19478","1.63e-3","1.80e-1","1.73","1.00e+0","1.79e-1","8.55e-4"
"GOTERM_BP_DIRECT","vesicle-mediated transport","1.13%","38","1683","259","19478","1.65e-3","1.80e-1","1.70","1.00e+0","1.79e-1","8.83e-4"
"GOTERM_CC_DIRECT","transcription regulator complex","0.98%","33","1728","223","20795","1.66e-3","3.60e-2","1.78","7.95e-1","3.37e-2","8.43e-4"
"GOTERM_BP_DIRECT","intracellular protein transport","1.19%","40","1683","278","19478","1.76e-3","1.88e-1","1.67","1.00e+0","1.87e-1","9.65e-4"
"GOTERM_MF_DIRECT","mRNA 5'-UTR binding","0.27%","9","1709","27","19253","1.80e-3","8.87e-2","3.76","9.46e-1","8.71e-2","3.58e-4"
"GOTERM_CC_DIRECT","cytoskeleton","2.11%","71","1728","594","20795","1.81e-3","3.83e-2","1.44","8.22e-1","3.59e-2","1.20e-3"
"GOTERM_BP_DIRECT","cytoskeleton organization","0.77%","26","1683","156","19478","1.87e-3","1.94e-1","1.93","1.00e+0","1.93e-1","8.63e-4"
"GOTERM_MF_DIRECT","double-stranded RNA binding","0.48%","16","1709","74","19253","1.89e-3","9.00e-2","2.44","9.53e-1","8.84e-2","6.53e-4"
"GOTERM_BP_DIRECT","negative regulation of translation","0.57%","19","1683","99","19478","1.90e-3","1.94e-1","2.22","1.00e+0","1.93e-1","7.38e-4"
"GOTERM_BP_DIRECT","positive regulation of G2/M transition of mitotic cell cycle","0.27%","9","1683","28","19478","1.96e-3","1.97e-1","3.72","1.00e+0","1.96e-1","3.98e-4"
"GOTERM_CC_DIRECT","trans-Golgi network membrane","0.60%","20","1728","112","20795","2.12e-3","4.40e-2","2.15","8.68e-1","4.12e-2","8.62e-4"
"GOTERM_CC_DIRECT","vesicle","0.77%","26","1728","164","20795","2.23e-3","4.53e-2","1.91","8.81e-1","4.24e-2","1.04e-3"
"GOTERM_BP_DIRECT","podocyte development","0.18%","6","1683","12","19478","2.25e-3","2.21e-1","5.79","1.00e+0","2.20e-1","2.41e-4"
"GOTERM_CC_DIRECT","chromatin","3.63%","122","1728","1133","20795","2.29e-3","4.55e-2","1.30","8.88e-1","4.26e-2","1.69e-3"
"GOTERM_MF_DIRECT","protein-folding chaperone binding","0.60%","20","1709","106","19253","2.33e-3","1.08e-1","2.13","9.77e-1","1.06e-1","9.52e-4"
"GOTERM_BP_DIRECT","protein N-linked glycosylation","0.42%","14","1683","63","19478","2.47e-3","2.37e-1","2.57","1.00e+0","2.35e-1","8.05e-4"
"GOTERM_BP_DIRECT","focal adhesion assembly","0.27%","9","1683","29","19478","2.51e-3","2.37e-1","3.59","1.00e+0","2.35e-1","5.34e-4"
"GOTERM_CC_DIRECT","nuclear envelope","0.92%","31","1728","212","20795","2.81e-3","5.48e-2","1.76","9.32e-1","5.13e-2","1.45e-3"
"GOTERM_BP_DIRECT","intracellular mRNA localization","0.15%","5","1683","8","19478","2.92e-3","2.69e-1","7.23","1.00e+0","2.67e-1","2.15e-4"
"GOTERM_BP_DIRECT","endocytosis","0.89%","30","1683","196","19478","2.96e-3","2.69e-1","1.77","1.00e+0","2.67e-1","1.50e-3"
"GOTERM_BP_DIRECT","in utero embryonic development","0.98%","33","1683","223","19478","3.04e-3","2.70e-1","1.71","1.00e+0","2.68e-1","1.61e-3"
"GOTERM_BP_DIRECT","macroautophagy","0.45%","15","1683","72","19478","3.08e-3","2.70e-1","2.41","1.00e+0","2.68e-1","1.08e-3"
"GOTERM_BP_DIRECT","cellular response to interferon-beta","0.27%","9","1683","30","19478","3.17e-3","2.72e-1","3.47","1.00e+0","2.70e-1","7.05e-4"
"GOTERM_CC_DIRECT","endosome","1.22%","41","1728","308","20795","3.18e-3","6.07e-2","1.60","9.52e-1","5.68e-2","1.82e-3"
"GOTERM_BP_DIRECT","actin cytoskeleton organization","0.98%","33","1683","224","19478","3.26e-3","2.72e-1","1.71","1.00e+0","2.70e-1","1.73e-3"
"GOTERM_BP_DIRECT","protein N-linked glycosylation via asparagine","0.24%","8","1683","24","19478","3.29e-3","2.72e-1","3.86","1.00e+0","2.70e-1","6.37e-4"
"GOTERM_BP_DIRECT","ERAD pathway","0.54%","18","1683","96","19478","3.33e-3","2.72e-1","2.17","1.00e+0","2.70e-1","1.33e-3"
"GOTERM_MF_DIRECT","zinc ion binding","6.85%","230","1709","2187","19253","3.38e-3","1.52e-1","1.18","9.96e-1","1.49e-1","2.78e-3"
"GOTERM_CC_DIRECT","smooth endoplasmic reticulum","0.24%","8","1728","25","20795","3.40e-3","6.36e-2","3.85","9.61e-1","5.95e-2","6.68e-4"
"GOTERM_BP_DIRECT","protein K63-linked ubiquitination","0.39%","13","1683","58","19478","3.49e-3","2.80e-1","2.59","1.00e+0","2.79e-1","1.12e-3"
"GOTERM_CC_DIRECT","chromosome","1.13%","38","1728","281","20795","3.52e-3","6.44e-2","1.63","9.65e-1","6.03e-2","1.98e-3"
"GOTERM_CC_DIRECT","mitochondrial membrane","0.86%","29","1728","197","20795","3.58e-3","6.44e-2","1.77","9.67e-1","6.03e-2","1.82e-3"
"GOTERM_BP_DIRECT","protein modification process","0.60%","20","1683","113","19478","3.63e-3","2.83e-1","2.05","1.00e+0","2.81e-1","1.55e-3"
"GOTERM_BP_DIRECT","positive regulation of protein catabolic process","0.48%","16","1683","81","19478","3.64e-3","2.83e-1","2.29","1.00e+0","2.81e-1","1.37e-3"
"GOTERM_MF_DIRECT","ribosome binding","0.48%","16","1709","79","19253","3.67e-3","1.61e-1","2.28","9.97e-1","1.58e-1","1.37e-3"
"GOTERM_MF_DIRECT","protein serine/threonine kinase activity","1.52%","51","1709","383","19253","3.77e-3","1.61e-1","1.50","9.98e-1","1.58e-1","2.31e-3"
"GOTERM_CC_DIRECT","cell junction","0.86%","29","1728","198","20795","3.85e-3","6.69e-2","1.76","9.75e-1","6.26e-2","1.97e-3"
"GOTERM_CC_DIRECT","spindle pole","0.68%","23","1728","144","20795","3.86e-3","6.69e-2","1.92","9.75e-1","6.26e-2","1.78e-3"
"GOTERM_BP_DIRECT","negative regulation of fat cell differentiation","0.39%","13","1683","59","19478","4.05e-3","3.09e-1","2.55","1.00e+0","3.08e-1","1.33e-3"
"GOTERM_CC_DIRECT","growth cone","0.66%","22","1728","136","20795","4.13e-3","6.99e-2","1.95","9.81e-1","6.54e-2","1.88e-3"
"GOTERM_BP_DIRECT","RNA splicing, via transesterification reactions","0.24%","8","1683","25","19478","4.23e-3","3.14e-1","3.70","1.00e+0","3.12e-1","8.66e-4"
"GOTERM_BP_DIRECT","G2/M transition of mitotic cell cycle","0.36%","12","1683","52","19478","4.24e-3","3.14e-1","2.67","1.00e+0","3.12e-1","1.32e-3"
"GOTERM_CC_DIRECT","zonula adherens","0.15%","5","1728","9","20795","4.25e-3","6.99e-2","6.69","9.83e-1","6.54e-2","3.73e-4"
"GOTERM_CC_DIRECT","slit diaphragm","0.15%","5","1728","9","20795","4.25e-3","6.99e-2","6.69","9.83e-1","6.54e-2","3.73e-4"
"GOTERM_CC_DIRECT","lamellipodium","0.83%","28","1728","191","20795","4.50e-3","7.28e-2","1.76","9.86e-1","6.81e-2","2.30e-3"
"GOTERM_BP_DIRECT","DNA repair","1.22%","41","1683","303","19478","4.64e-3","3.38e-1","1.57","1.00e+0","3.36e-1","2.73e-3"
"GOTERM_MF_DIRECT","ubiquitin-like protein transferase activity","0.27%","9","1709","31","19253","4.66e-3","1.80e-1","3.27","9.99e-1","1.77e-1","1.11e-3"
"GOTERM_MF_DIRECT","ATP-dependent H3-H4 histone complex chaperone activity","0.74%","25","1709","154","19253","4.66e-3","1.80e-1","1.83","9.99e-1","1.77e-1","2.27e-3"
"GOTERM_MF_DIRECT","chromatin extrusion motor activity","0.74%","25","1709","154","19253","4.66e-3","1.80e-1","1.83","9.99e-1","1.77e-1","2.27e-3"
"GOTERM_MF_DIRECT","ATP-dependent H2AZ histone chaperone activity","0.74%","25","1709","154","19253","4.66e-3","1.80e-1","1.83","9.99e-1","1.77e-1","2.27e-3"
"GOTERM_BP_DIRECT","protein folding","0.80%","27","1683","176","19478","4.82e-3","3.41e-1","1.78","1.00e+0","3.39e-1","2.44e-3"
"GOTERM_BP_DIRECT","substrate-dependent cell migration, cell extension","0.15%","5","1683","9","19478","4.90e-3","3.41e-1","6.43","1.00e+0","3.39e-1","4.48e-4"
"GOTERM_MF_DIRECT","histone acetyltransferase activity","0.24%","8","1709","25","19253","4.91e-3","1.85e-1","3.61","1.00e+0","1.82e-1","1.03e-3"
