"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"GOTERM_MF_DIRECT","histone H3T6 kinase activity","1.74%","39","2060","255","28924","1.23e-5","7.54e-4","2.15","1.87e-2","7.15e-4","5.16e-6"
"GOTERM_CC_DIRECT","dendritic shaft","0.80%","18","2079","75","29722","1.28e-5","3.52e-4","3.43","1.15e-2","3.21e-4","3.04e-6"
"GOTERM_MF_DIRECT","zinc ion binding","7.36%","165","2060","1667","28924","1.33e-5","7.66e-4","1.39","2.02e-2","7.26e-4","9.20e-6"
"GOTERM_MF_DIRECT","actin binding","2.23%","50","2060","364","28924","1.35e-5","7.66e-4","1.93","2.05e-2","7.26e-4","6.27e-6"
"GOTERM_BP_DIRECT","in utero embryonic development","2.19%","49","2079","361","29712","1.42e-5","5.13e-3","1.94","6.93e-2","5.05e-3","6.76e-6"
"GOTERM_CC_DIRECT","postsynaptic membrane","1.83%","41","2079","282","29722","1.59e-5","4.25e-4","2.08","1.44e-2","3.88e-4","6.96e-6"
"GOTERM_MF_DIRECT","AMP-activated protein kinase activity","1.74%","39","2060","258","28924","1.62e-5","8.82e-4","2.12","2.44e-2","8.36e-4","6.85e-6"
"GOTERM_CC_DIRECT","presynapse","2.10%","47","2079","343","29722","1.69e-5","4.38e-4","1.96","1.52e-2","4.00e-4","7.90e-6"
"GOTERM_BP_DIRECT","peptidyl-threonine phosphorylation","0.62%","14","2079","48","29712","1.75e-5","5.50e-3","4.17","8.47e-2","5.41e-3","3.23e-6"
"GOTERM_BP_DIRECT","protein stabilization","1.56%","35","2079","225","29712","1.80e-5","5.50e-3","2.22","8.69e-2","5.41e-3","7.24e-6"
"GOTERM_BP_DIRECT","receptor localization to synapse","0.31%","7","2079","10","29712","1.91e-5","5.50e-3","10.00","9.19e-2","5.41e-3","8.08e-7"
"GOTERM_CC_DIRECT","Z disc","1.20%","27","2079","152","29722","1.93e-5","4.87e-4","2.54","1.74e-2","4.45e-4","6.64e-6"
"GOTERM_BP_DIRECT","dendritic spine development","0.45%","10","2079","24","29712","1.96e-5","5.50e-3","5.95","9.43e-2","5.41e-3","2.17e-6"
"GOTERM_MF_DIRECT","microtubule binding","1.78%","40","2060","270","28924","1.99e-5","1.05e-3","2.08","2.99e-2","9.92e-4","8.62e-6"
"GOTERM_CC_DIRECT","Golgi membrane","3.21%","72","2079","613","29722","2.05e-5","5.03e-4","1.68","1.84e-2","4.59e-4","1.14e-5"
"GOTERM_BP_DIRECT","insulin receptor signaling pathway","1.07%","24","2079","128","29712","2.56e-5","6.82e-3","2.68","1.22e-1","6.71e-3","8.26e-6"
"GOTERM_BP_DIRECT","protein folding","1.07%","24","2079","129","29712","2.92e-5","7.37e-3","2.66","1.37e-1","7.25e-3","9.48e-6"
"GOTERM_MF_DIRECT","transcription coregulator activity","1.07%","24","2060","127","28924","2.97e-5","1.51e-3","2.65","4.43e-2","1.43e-3","9.64e-6"
"GOTERM_CC_DIRECT","cell cortex","1.43%","32","2079","202","29722","3.03e-5","7.22e-4","2.26","2.71e-2","6.59e-4","1.19e-5"
"GOTERM_BP_DIRECT","cytoskeleton organization","1.16%","26","2079","147","29712","3.08e-5","7.37e-3","2.53","1.44e-1","7.25e-3","1.06e-5"
"GOTERM_BP_DIRECT","rhythmic process","0.85%","19","2079","88","29712","3.21e-5","7.37e-3","3.09","1.50e-1","7.25e-3","8.70e-6"
"GOTERM_BP_DIRECT","phospholipid transport","0.58%","13","2079","44","29712","3.40e-5","7.47e-3","4.22","1.58e-1","7.35e-3","6.17e-6"
"GOTERM_BP_DIRECT","peptidyl-serine phosphorylation","0.94%","21","2079","106","29712","4.11e-5","8.64e-3","2.83","1.87e-1","8.51e-3","1.24e-5"
"GOTERM_BP_DIRECT","synaptic vesicle endocytosis","0.62%","14","2079","52","29712","4.43e-5","8.95e-3","3.85","2.01e-1","8.81e-3","9.08e-6"
"GOTERM_CC_DIRECT","cell projection","1.65%","37","2079","255","29722","4.57e-5","1.06e-3","2.07","4.06e-2","9.71e-4","1.99e-5"
"GOTERM_BP_DIRECT","chromatin organization","1.74%","39","2079","275","29712","4.62e-5","8.98e-3","2.03","2.08e-1","8.84e-3","2.09e-5"
"GOTERM_CC_DIRECT","cytoplasmic stress granule","0.89%","20","2079","99","29722","4.94e-5","1.12e-3","2.89","4.39e-2","1.02e-3","1.45e-5"
"GOTERM_BP_DIRECT","regulation of postsynapse organization","0.62%","14","2079","53","29712","5.50e-5","1.01e-2","3.78","2.43e-1","9.96e-3","1.15e-5"
"GOTERM_MF_DIRECT","histone H2BS14 kinase activity","1.65%","37","2060","253","28924","5.59e-5","1.86e-3","2.05","8.18e-2","1.76e-3","2.46e-5"
"GOTERM_MF_DIRECT","histone H3S10 kinase activity","1.65%","37","2060","253","28924","5.59e-5","1.86e-3","2.05","8.18e-2","1.76e-3","2.46e-5"
"GOTERM_MF_DIRECT","histone H3S28 kinase activity","1.65%","37","2060","253","28924","5.59e-5","1.86e-3","2.05","8.18e-2","1.76e-3","2.46e-5"
"GOTERM_MF_DIRECT","ribosomal protein S6 kinase activity","1.65%","37","2060","253","28924","5.59e-5","1.86e-3","2.05","8.18e-2","1.76e-3","2.46e-5"
"GOTERM_MF_DIRECT","eukaryotic translation initiation factor 2alpha kinase activity","1.65%","37","2060","253","28924","5.59e-5","1.86e-3","2.05","8.18e-2","1.76e-3","2.46e-5"
"GOTERM_MF_DIRECT","histone H2AT120 kinase activity","1.65%","37","2060","253","28924","5.59e-5","1.86e-3","2.05","8.18e-2","1.76e-3","2.46e-5"
"GOTERM_MF_DIRECT","3-phosphoinositide-dependent protein kinase activity","1.65%","37","2060","253","28924","5.59e-5","1.86e-3","2.05","8.18e-2","1.76e-3","2.46e-5"
"GOTERM_MF_DIRECT","DNA-dependent protein kinase activity","1.65%","37","2060","253","28924","5.59e-5","1.86e-3","2.05","8.18e-2","1.76e-3","2.46e-5"
"GOTERM_MF_DIRECT","histone H4S1 kinase activity","1.65%","37","2060","253","28924","5.59e-5","1.86e-3","2.05","8.18e-2","1.76e-3","2.46e-5"
"GOTERM_MF_DIRECT","histone H2AXS139 kinase activity","1.65%","37","2060","253","28924","5.59e-5","1.86e-3","2.05","8.18e-2","1.76e-3","2.46e-5"
"GOTERM_MF_DIRECT","histone H3T3 kinase activity","1.65%","37","2060","253","28924","5.59e-5","1.86e-3","2.05","8.18e-2","1.76e-3","2.46e-5"
"GOTERM_MF_DIRECT","histone H2AS121 kinase activity","1.65%","37","2060","253","28924","5.59e-5","1.86e-3","2.05","8.18e-2","1.76e-3","2.46e-5"
"GOTERM_MF_DIRECT","histone H2BS36 kinase activity","1.65%","37","2060","253","28924","5.59e-5","1.86e-3","2.05","8.18e-2","1.76e-3","2.46e-5"
"GOTERM_MF_DIRECT","histone H3S57 kinase activity","1.65%","37","2060","253","28924","5.59e-5","1.86e-3","2.05","8.18e-2","1.76e-3","2.46e-5"
"GOTERM_MF_DIRECT","Rho-dependent protein serine/threonine kinase activity","1.65%","37","2060","253","28924","5.59e-5","1.86e-3","2.05","8.18e-2","1.76e-3","2.46e-5"
"GOTERM_MF_DIRECT","histone H2AS1 kinase activity","1.65%","37","2060","253","28924","5.59e-5","1.86e-3","2.05","8.18e-2","1.76e-3","2.46e-5"
"GOTERM_BP_DIRECT","regulation of circadian rhythm","0.71%","16","2079","68","29712","5.74e-5","1.01e-2","3.36","2.52e-1","9.96e-3","1.40e-5"
"GOTERM_CC_DIRECT","myelin sheath","1.34%","30","2079","190","29722","5.94e-5","1.31e-3","2.26","5.25e-2","1.20e-3","2.34e-5"
"GOTERM_BP_DIRECT","learning","0.76%","17","2079","76","29712","6.01e-5","1.01e-2","3.20","2.62e-1","9.96e-3","1.56e-5"
"GOTERM_BP_DIRECT","JNK cascade","0.76%","17","2079","76","29712","6.01e-5","1.01e-2","3.20","2.62e-1","9.96e-3","1.56e-5"
"GOTERM_MF_DIRECT","histone H3T45 kinase activity","1.65%","37","2060","254","28924","6.07e-5","1.97e-3","2.05","8.86e-2","1.87e-3","2.68e-5"
"GOTERM_MF_DIRECT","histone H3T11 kinase activity","1.65%","37","2060","255","28924","6.60e-5","2.10e-3","2.04","9.58e-2","1.99e-3","2.93e-5"
"GOTERM_CC_DIRECT","cell-cell junction","1.52%","34","2079","231","29722","7.35e-5","1.57e-3","2.10","6.45e-2","1.43e-3","3.15e-5"
"GOTERM_BP_DIRECT","protein localization to synapse","0.40%","9","2079","22","29712","7.42e-5","1.21e-2","5.85","3.13e-1","1.19e-2","8.51e-6"
"GOTERM_CC_DIRECT","microtubule","2.01%","45","2079","343","29722","7.42e-5","1.57e-3","1.88","6.51e-2","1.43e-3","3.64e-5"
"GOTERM_MF_DIRECT","calmodulin binding","1.43%","32","2060","208","28924","7.46e-5","2.33e-3","2.16","1.08e-1","2.21e-3","3.09e-5"
"GOTERM_MF_DIRECT","guanyl-nucleotide exchange factor activity","1.52%","34","2060","228","28924","8.00e-5","2.44e-3","2.09","1.15e-1","2.32e-3","3.44e-5"
"GOTERM_CC_DIRECT","podosome","0.58%","13","2079","48","29722","8.62e-5","1.78e-3","3.87","7.52e-2","1.62e-3","1.75e-5"
"GOTERM_BP_DIRECT","stem cell proliferation","0.71%","16","2079","71","29712","9.70e-5","1.53e-2","3.22","3.88e-1","1.51e-2","2.49e-5"
"GOTERM_BP_DIRECT","actin filament bundle assembly","0.54%","12","2079","42","29712","1.08e-4","1.60e-2","4.08","4.19e-1","1.57e-2","2.04e-5"
"GOTERM_BP_DIRECT","neuromuscular junction development","0.54%","12","2079","42","29712","1.08e-4","1.60e-2","4.08","4.19e-1","1.57e-2","2.04e-5"
"GOTERM_CC_DIRECT","neuromuscular junction","0.94%","21","2079","114","29722","1.18e-4","2.38e-3","2.63","1.02e-1","2.17e-3","3.88e-5"
"GOTERM_BP_DIRECT","positive regulation of protein phosphorylation","1.47%","33","2079","227","29712","1.22e-4","1.71e-2","2.08","4.59e-1","1.68e-2","5.28e-5"
"GOTERM_CC_DIRECT","synaptic vesicle membrane","1.16%","26","2079","160","29722","1.27e-4","2.51e-3","2.32","1.09e-1","2.29e-3","4.85e-5"
"GOTERM_BP_DIRECT","positive regulation of cell migration","1.65%","37","2079","268","29712","1.29e-4","1.71e-2","1.97","4.80e-1","1.68e-2","5.96e-5"
"GOTERM_BP_DIRECT","mitotic G1 DNA damage checkpoint signaling","0.31%","7","2079","13","29712","1.30e-4","1.71e-2","7.70","4.81e-1","1.68e-2","9.58e-6"
"GOTERM_BP_DIRECT","regulation of cell shape","1.07%","24","2079","142","29712","1.35e-4","1.71e-2","2.42","4.95e-1","1.68e-2","4.91e-5"
"GOTERM_BP_DIRECT","social behavior","0.71%","16","2079","73","29712","1.35e-4","1.71e-2","3.13","4.95e-1","1.68e-2","3.59e-5"
"GOTERM_BP_DIRECT","cell motility","0.54%","12","2079","43","29712","1.36e-4","1.71e-2","3.99","4.96e-1","1.68e-2","2.65e-5"
"GOTERM_MF_DIRECT","protein folding chaperone","0.62%","14","2060","57","28924","1.47e-4","4.40e-3","3.45","2.01e-1","4.17e-3","3.45e-5"
"GOTERM_CC_DIRECT","synaptic membrane","0.76%","17","2079","82","29722","1.55e-4","2.99e-3","2.96","1.31e-1","2.73e-3","4.41e-5"
"GOTERM_MF_DIRECT","PDZ domain binding","0.98%","22","2060","123","28924","1.55e-4","4.55e-3","2.51","2.11e-1","4.32e-3","5.37e-5"
"GOTERM_BP_DIRECT","insulin-like growth factor receptor signaling pathway","0.76%","17","2079","82","29712","1.56e-4","1.88e-2","2.96","5.44e-1","1.85e-2","4.43e-5"
"GOTERM_BP_DIRECT","cell population proliferation","1.83%","41","2079","312","29712","1.57e-4","1.88e-2","1.88","5.47e-1","1.85e-2","7.70e-5"
"GOTERM_BP_DIRECT","RNA splicing","1.34%","30","2079","201","29712","1.65e-4","1.90e-2","2.13","5.65e-1","1.87e-2","6.93e-5"
"GOTERM_BP_DIRECT","cAMP catabolic process","0.27%","6","2079","9","29712","1.65e-4","1.90e-2","9.53","5.66e-1","1.87e-2","8.14e-6"
"GOTERM_CC_DIRECT","cell leading edge","0.71%","16","2079","75","29722","1.85e-4","3.50e-3","3.05","1.54e-1","3.19e-3","5.08e-5"
"GOTERM_BP_DIRECT","protein polyubiquitination","1.07%","24","2079","145","29712","1.86e-4","2.09e-2","2.37","6.09e-1","2.06e-2","6.93e-5"
"GOTERM_CC_DIRECT","presynaptic membrane","1.34%","30","2079","203","29722","1.95e-4","3.61e-3","2.11","1.62e-1","3.29e-3","8.28e-5"
"GOTERM_CC_DIRECT","RNA polymerase II transcription regulator complex","1.03%","23","2079","137","29722","2.11e-4","3.82e-3","2.40","1.74e-1","3.49e-3","7.73e-5"
"GOTERM_CC_DIRECT","nuclear membrane","1.65%","37","2079","275","29722","2.15e-4","3.82e-3","1.92","1.77e-1","3.49e-3","1.02e-4"
"GOTERM_BP_DIRECT","mRNA processing","1.56%","35","2079","257","29712","2.62e-4","2.87e-2","1.95","7.34e-1","2.82e-2","1.22e-4"
"GOTERM_BP_DIRECT","regulation of cell cycle","1.52%","34","2079","247","29712","2.67e-4","2.87e-2","1.97","7.40e-1","2.82e-2","1.23e-4"
"GOTERM_MF_DIRECT","identical protein binding","8.52%","191","2060","2094","28924","2.83e-4","8.15e-3","1.28","3.51e-1","7.72e-3","2.10e-4"
"GOTERM_CC_DIRECT","sarcoplasmic reticulum","0.62%","14","2079","62","29722","3.00e-4","5.16e-3","3.23","2.38e-1","4.71e-3","7.68e-5"
"GOTERM_BP_DIRECT","lung alveolus development","0.62%","14","2079","62","29712","3.01e-4","3.15e-2","3.23","7.81e-1","3.10e-2","7.71e-5"
"GOTERM_CC_DIRECT","stress fiber","0.85%","19","2079","104","29722","3.02e-4","5.16e-3","2.61","2.39e-1","4.71e-3","9.98e-5"
"GOTERM_BP_DIRECT","negative regulation of gene expression","2.14%","48","2079","398","29712","3.08e-4","3.15e-2","1.72","7.89e-1","3.10e-2","1.68e-4"
"GOTERM_BP_DIRECT","maintenance of postsynaptic density structure","0.27%","6","2079","10","29712","3.11e-4","3.15e-2","8.57","7.93e-1","3.10e-2","1.91e-5"
"GOTERM_CC_DIRECT","axonal growth cone","0.54%","12","2079","47","29722","3.16e-4","5.31e-3","3.65","2.49e-1","4.84e-3","6.94e-5"
"GOTERM_BP_DIRECT","positive regulation of filopodium assembly","0.49%","11","2079","40","29712","3.33e-4","3.25e-2","3.93","8.14e-1","3.20e-2","6.65e-5"
"GOTERM_BP_DIRECT","protein localization to plasma membrane","1.16%","26","2079","170","29712","3.35e-4","3.25e-2","2.19","8.16e-1","3.20e-2","1.37e-4"
"GOTERM_CC_DIRECT","nuclear speck","2.41%","54","2079","467","29722","3.56e-4","5.86e-3","1.65","2.76e-1","5.35e-3","2.01e-4"
"GOTERM_MF_DIRECT","syntaxin binding","0.62%","14","2060","62","28924","3.57e-4","1.01e-2","3.17","4.20e-1","9.57e-3","9.31e-5"
"GOTERM_CC_DIRECT","excitatory synapse","0.54%","12","2079","48","29722","3.84e-4","6.22e-3","3.57","2.94e-1","5.68e-3","8.66e-5"
"GOTERM_BP_DIRECT","positive regulation of JUN kinase activity","0.54%","12","2079","48","29712","3.85e-4","3.67e-2","3.57","8.57e-1","3.61e-2","8.69e-5"
"GOTERM_MF_DIRECT","protein heterodimerization activity","2.10%","47","2060","384","28924","3.89e-4","1.08e-2","1.72","4.48e-1","1.02e-2","2.07e-4"
"GOTERM_BP_DIRECT","forebrain development","0.80%","18","2079","98","29712","4.28e-4","3.96e-2","2.62","8.85e-1","3.90e-2","1.41e-4"
"GOTERM_BP_DIRECT","positive regulation of canonical Wnt signaling pathway","0.89%","20","2079","116","29712","4.31e-4","3.96e-2","2.46","8.87e-1","3.90e-2","1.53e-4"
"GOTERM_MF_DIRECT","mitogen-activated protein kinase kinase binding","0.36%","8","2060","21","28924","4.38e-4","1.19e-2","5.35","4.88e-1","1.13e-2","5.73e-5"
"GOTERM_BP_DIRECT","axon guidance","1.25%","28","2079","193","29712","4.48e-4","4.04e-2","2.07","8.96e-1","3.97e-2","1.94e-4"
"GOTERM_CC_DIRECT","presynaptic cytosol","0.54%","12","2079","49","29722","4.64e-4","7.39e-3","3.50","3.44e-1","6.75e-3","1.07e-4"
"GOTERM_BP_DIRECT","transforming growth factor beta receptor signaling pathway","0.80%","18","2079","99","29712","4.84e-4","4.24e-2","2.60","9.13e-1","4.17e-2","1.61e-4"
