"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"GOTERM_BP_DIRECT","negative regulation of transcription by RNA polymerase II","4.92%","172","3218","1005","29712","1.19e-9","1.48e-6","1.58","7.38e-6","1.45e-6","7.06e-10"
"GOTERM_MF_DIRECT","protein serine/threonine kinase activity","2.43%","85","3181","393","28924","1.62e-9","4.42e-7","1.97","3.09e-6","4.21e-7","7.13e-10"
"GOTERM_BP_DIRECT","nervous system development","2.06%","72","3218","321","29712","3.43e-9","3.56e-6","2.07","2.14e-5","3.50e-6","1.43e-9"
"GOTERM_BP_DIRECT","positive regulation of DNA-templated transcription","3.97%","139","3218","782","29712","4.75e-9","3.92e-6","1.64","2.96e-5","3.85e-6","2.67e-9"
"GOTERM_BP_DIRECT","rhythmic process","0.89%","31","3218","88","29712","5.03e-9","3.92e-6","3.25","3.13e-5","3.85e-6","1.13e-9"
"GOTERM_MF_DIRECT","transcription corepressor activity","1.49%","52","3181","199","28924","5.39e-9","1.27e-6","2.38","1.03e-5","1.21e-6","1.87e-9"
"GOTERM_CC_DIRECT","centrosome","3.49%","122","3218","663","29722","5.66e-9","3.85e-7","1.70","6.16e-6","3.51e-7","3.10e-9"
"GOTERM_MF_DIRECT","transcription coactivator activity","1.86%","65","3181","277","28924","5.98e-9","1.27e-6","2.13","1.14e-5","1.21e-6","2.39e-9"
"GOTERM_BP_DIRECT","actin cytoskeleton organization","1.66%","58","3218","239","29712","6.95e-9","4.81e-6","2.24","4.33e-5","4.72e-6","2.62e-9"
"GOTERM_MF_DIRECT","zinc ion binding","7.37%","258","3181","1667","28924","8.66e-9","1.65e-6","1.41","1.65e-5","1.58e-6","5.85e-9"
"GOTERM_MF_DIRECT","protein-containing complex binding","3.60%","126","3181","687","28924","1.00e-8","1.74e-6","1.67","1.91e-5","1.65e-6","5.26e-9"
"GOTERM_CC_DIRECT","endoplasmic reticulum","5.77%","202","3218","1262","29722","1.04e-8","6.68e-7","1.48","1.14e-5","6.09e-7","6.65e-9"
"GOTERM_CC_DIRECT","synaptic vesicle","1.34%","47","3218","179","29722","1.68e-8","1.01e-6","2.43","1.83e-5","9.25e-7","5.69e-9"
"GOTERM_MF_DIRECT","ubiquitin protein ligase binding","2.06%","72","3181","329","28924","1.91e-8","3.05e-6","1.99","3.65e-5","2.90e-6","8.28e-9"
"GOTERM_CC_DIRECT","chromatin","2.86%","100","3218","523","29722","2.14e-8","1.22e-6","1.77","2.32e-5","1.12e-6","1.09e-8"
"GOTERM_CC_DIRECT","endomembrane system","2.03%","71","3218","329","29722","2.32e-8","1.26e-6","1.99","2.52e-5","1.15e-6","1.01e-8"
"GOTERM_CC_DIRECT","focal adhesion","1.46%","51","3218","205","29722","2.61e-8","1.35e-6","2.30","2.84e-5","1.23e-6","9.49e-9"
"GOTERM_MF_DIRECT","GTPase activator activity","1.66%","58","3181","244","28924","2.62e-8","3.85e-6","2.16","5.00e-5","3.67e-6","1.03e-8"
"GOTERM_CC_DIRECT","lamellipodium","1.46%","51","3218","207","29722","3.65e-8","1.80e-6","2.28","3.96e-5","1.64e-6","1.34e-8"
"GOTERM_CC_DIRECT","postsynaptic density, intracellular component","0.63%","22","3218","53","29722","4.99e-8","2.36e-6","3.83","5.43e-5","2.15e-6","8.69e-9"
"GOTERM_BP_DIRECT","endocytosis","1.37%","48","3218","191","29712","5.09e-8","3.17e-5","2.32","3.17e-4","3.11e-5","1.83e-8"
"GOTERM_MF_DIRECT","enzyme binding","2.60%","91","3181","464","28924","5.87e-8","8.01e-6","1.78","1.12e-4","7.63e-6","3.02e-8"
"GOTERM_BP_DIRECT","protein folding","1.06%","37","3218","129","29712","6.26e-8","3.54e-5","2.65","3.89e-4","3.48e-5","1.88e-8"
"GOTERM_CC_DIRECT","Golgi membrane","3.17%","111","3218","613","29722","6.89e-8","3.12e-6","1.67","7.49e-5","2.85e-6","3.76e-8"
"GOTERM_CC_DIRECT","nuclear speck","2.57%","90","3218","467","29722","7.89e-8","3.43e-6","1.78","8.58e-5","3.13e-6","3.98e-8"
"GOTERM_MF_DIRECT","unfolded protein binding","0.86%","30","3181","92","28924","9.11e-8","1.16e-5","2.97","1.74e-4","1.11e-5","2.33e-8"
"GOTERM_BP_DIRECT","modulation of chemical synaptic transmission","1.14%","40","3218","148","29712","9.81e-8","5.09e-5","2.50","6.11e-4","5.00e-5","3.20e-8"
"GOTERM_MF_DIRECT","SH3 domain binding","1.06%","37","3181","130","28924","1.14e-7","1.36e-5","2.59","2.17e-4","1.29e-5","3.52e-8"
"GOTERM_MF_DIRECT","kinase activity","1.23%","43","3181","165","28924","1.42e-7","1.59e-5","2.37","2.71e-4","1.52e-5","4.94e-8"
"GOTERM_MF_DIRECT","metal ion binding","11.03%","386","3181","2748","28924","1.60e-7","1.69e-5","1.28","3.05e-4","1.61e-5","1.14e-7"
"GOTERM_BP_DIRECT","protein phosphorylation","2.00%","70","3218","342","29712","2.55e-7","1.22e-4","1.89","1.58e-3","1.20e-4","1.19e-7"
"GOTERM_MF_DIRECT","mRNA binding","1.74%","61","3181","280","28924","2.97e-7","2.98e-5","1.98","5.67e-4","2.84e-5","1.30e-7"
"GOTERM_CC_DIRECT","nuclear body","2.20%","77","3218","391","29722","3.04e-7","1.27e-5","1.82","3.30e-4","1.16e-5","1.49e-7"
"GOTERM_MF_DIRECT","scaffold protein binding","0.83%","29","3181","92","28924","3.42e-7","3.27e-5","2.87","6.53e-4","3.11e-5","9.17e-8"
"GOTERM_CC_DIRECT","postsynapse","2.26%","79","3218","406","29722","3.48e-7","1.40e-5","1.80","3.78e-4","1.28e-5","1.73e-7"
"GOTERM_BP_DIRECT","regulation of circadian rhythm","0.69%","24","3218","68","29712","3.55e-7","1.58e-4","3.26","2.21e-3","1.55e-4","7.96e-8"
"GOTERM_BP_DIRECT","insulin receptor signaling pathway","1.00%","35","3218","128","29712","5.16e-7","2.14e-4","2.52","3.21e-3","2.10e-4","1.65e-7"
"GOTERM_CC_DIRECT","ribonucleoprotein complex","1.89%","66","3218","323","29722","6.04e-7","2.34e-5","1.89","6.56e-4","2.14e-5","2.82e-7"
"GOTERM_CC_DIRECT","Schaffer collateral - CA1 synapse","1.11%","39","3218","153","29722","7.19e-7","2.69e-5","2.35","7.81e-4","2.46e-5","2.53e-7"
"GOTERM_BP_DIRECT","protein transport","2.60%","91","3218","498","29712","7.75e-7","3.01e-4","1.69","4.81e-3","2.96e-4","4.17e-7"
"GOTERM_CC_DIRECT","nucleolus","4.40%","154","3218","966","29722","8.49e-7","3.08e-5","1.47","9.23e-4","2.81e-5","5.49e-7"
"GOTERM_BP_DIRECT","regulation of cell cycle","1.54%","54","3218","247","29712","8.55e-7","3.13e-4","2.02","5.31e-3","3.07e-4","3.67e-7"
"GOTERM_CC_DIRECT","RNA polymerase II transcription regulator complex","1.03%","36","3218","137","29722","9.55e-7","3.35e-5","2.43","1.04e-3","3.05e-5","3.23e-7"
"GOTERM_BP_DIRECT","chromatin organization","1.66%","58","3218","275","29712","1.10e-6","3.80e-4","1.95","6.82e-3","3.73e-4","4.94e-7"
"GOTERM_CC_DIRECT","mitochondrion","7.46%","261","3218","1818","29722","1.21e-6","4.11e-5","1.33","1.31e-3","3.74e-5","8.97e-7"
"GOTERM_BP_DIRECT","protein stabilization","1.43%","50","3218","225","29712","1.39e-6","4.44e-4","2.05","8.60e-3","4.36e-4","5.83e-7"
"GOTERM_BP_DIRECT","negative regulation of DNA-templated transcription","3.37%","118","3218","702","29712","1.43e-6","4.44e-4","1.55","8.84e-3","4.36e-4","8.55e-7"
"GOTERM_BP_DIRECT","protein localization to plasma membrane","1.17%","41","3218","170","29712","1.66e-6","4.93e-4","2.23","1.03e-2","4.84e-4","6.29e-7"
"GOTERM_MF_DIRECT","ionotropic glutamate receptor binding","0.57%","20","3181","53","28924","1.68e-6","1.53e-4","3.43","3.20e-3","1.46e-4","3.47e-7"
"GOTERM_BP_DIRECT","peptidyl-serine phosphorylation","0.86%","30","3218","106","29712","1.80e-6","5.10e-4","2.61","1.11e-2","5.00e-4","5.51e-7"
"GOTERM_BP_DIRECT","intracellular signal transduction","2.29%","80","3218","432","29712","2.24e-6","6.05e-4","1.71","1.38e-2","5.95e-4","1.18e-6"
"GOTERM_CC_DIRECT","presynapse","1.91%","67","3218","343","29722","2.54e-6","8.35e-5","1.80","2.75e-3","7.62e-5","1.26e-6"
"GOTERM_MF_DIRECT","protein kinase activity","1.66%","58","3181","279","28924","2.85e-6","2.48e-4","1.89","5.43e-3","2.36e-4","1.33e-6"
"GOTERM_MF_DIRECT","histone binding","1.17%","41","3181","172","28924","3.31e-6","2.75e-4","2.17","6.30e-3","2.62e-4","1.29e-6"
"GOTERM_CC_DIRECT","clathrin-coated pit","0.63%","22","3218","67","29722","4.54e-6","1.45e-4","3.03","4.92e-3","1.32e-4","1.13e-6"
"GOTERM_BP_DIRECT","neuron projection morphogenesis","0.74%","26","3218","89","29712","5.43e-6","1.35e-3","2.70","3.32e-2","1.33e-3","1.59e-6"
"GOTERM_BP_DIRECT","cytoskeleton organization","1.03%","36","3218","147","29712","5.44e-6","1.35e-3","2.26","3.33e-2","1.33e-3","2.01e-6"
"GOTERM_CC_DIRECT","adherens junction","1.17%","41","3218","178","29722","5.53e-6","1.72e-4","2.13","5.99e-3","1.57e-4","2.22e-6"
"GOTERM_MF_DIRECT","actin filament binding","1.40%","49","3181","226","28924","5.61e-6","4.46e-4","1.97","1.06e-2","4.25e-4","2.47e-6"
"GOTERM_CC_DIRECT","podosome","0.51%","18","3218","48","29722","5.75e-6","1.74e-4","3.46","6.23e-3","1.58e-4","1.18e-6"
"GOTERM_MF_DIRECT","protein folding chaperone","0.57%","20","3181","57","28924","5.83e-6","4.46e-4","3.19","1.11e-2","4.25e-4","1.34e-6"
"GOTERM_BP_DIRECT","phospholipid transport","0.49%","17","3218","44","29712","7.32e-6","1.75e-3","3.57","4.45e-2","1.72e-3","1.43e-6"
"GOTERM_CC_DIRECT","cytoplasmic side of plasma membrane","0.89%","31","3218","119","29722","7.38e-6","2.17e-4","2.41","7.99e-3","1.98e-4","2.52e-6"
"GOTERM_CC_DIRECT","growth cone","1.23%","43","3218","193","29722","7.67e-6","2.19e-4","2.06","8.30e-3","2.00e-4","3.21e-6"
"GOTERM_BP_DIRECT","in utero embryonic development","1.94%","68","3218","361","29712","7.69e-6","1.77e-3","1.74","4.67e-2","1.74e-3","3.98e-6"
"GOTERM_MF_DIRECT","protein phosphatase binding","0.89%","31","3181","119","28924","1.00e-5","7.38e-4","2.37","1.90e-2","7.03e-4","3.49e-6"
"GOTERM_CC_DIRECT","cell cortex","1.26%","44","3218","202","29722","1.08e-5","3.01e-4","2.01","1.17e-2","2.74e-4","4.64e-6"
"GOTERM_MF_DIRECT","mRNA 3'-UTR binding","0.83%","29","3181","108","28924","1.11e-5","7.86e-4","2.44","2.10e-2","7.49e-4","3.71e-6"
"GOTERM_BP_DIRECT","JNK cascade","0.66%","23","3218","76","29712","1.15e-5","2.56e-3","2.79","6.92e-2","2.51e-3","3.21e-6"
"GOTERM_BP_DIRECT","axonogenesis","0.89%","31","3218","122","29712","1.26e-5","2.71e-3","2.35","7.55e-2","2.66e-3","4.45e-6"
"GOTERM_BP_DIRECT","insulin-like growth factor receptor signaling pathway","0.69%","24","3218","82","29712","1.30e-5","2.71e-3","2.70","7.80e-2","2.66e-3","3.81e-6"
"GOTERM_CC_DIRECT","cytoplasmic stress granule","0.77%","27","3218","99","29722","1.34e-5","3.55e-4","2.52","1.45e-2","3.24e-4","4.30e-6"
"GOTERM_CC_DIRECT","actin filament","0.77%","27","3218","99","29722","1.34e-5","3.55e-4","2.52","1.45e-2","3.24e-4","4.30e-6"
"GOTERM_BP_DIRECT","regulation of protein localization","0.83%","29","3218","111","29712","1.46e-5","2.92e-3","2.41","8.67e-2","2.87e-3","4.95e-6"
"GOTERM_BP_DIRECT","dendritic spine development","0.34%","12","3218","24","29712","1.53e-5","2.98e-3","4.62","9.09e-2","2.92e-3","1.97e-6"
"GOTERM_MF_DIRECT","guanyl-nucleotide exchange factor activity","1.37%","48","3181","228","28924","1.59e-5","1.09e-3","1.91","2.99e-2","1.03e-3","7.27e-6"
"GOTERM_MF_DIRECT","histone H3T6 kinase activity","1.49%","52","3181","255","28924","1.70e-5","1.12e-3","1.85","3.20e-2","1.07e-3","8.10e-6"
"GOTERM_CC_DIRECT","cytoskeleton","2.66%","93","3218","552","29722","1.79e-5","4.64e-4","1.56","1.93e-2","4.23e-4","1.06e-5"
"GOTERM_BP_DIRECT","actin filament bundle assembly","0.46%","16","3218","42","29712","1.81e-5","3.37e-3","3.52","1.07e-1","3.31e-3","3.63e-6"
"GOTERM_BP_DIRECT","positive regulation of apoptotic process","2.06%","72","3218","399","29712","1.84e-5","3.37e-3","1.67","1.08e-1","3.31e-3","1.00e-5"
"GOTERM_BP_DIRECT","multicellular organism growth","1.11%","39","3218","175","29712","2.15e-5","3.83e-3","2.06","1.25e-1","3.76e-3","8.99e-6"
"GOTERM_CC_DIRECT","nuclear matrix","0.94%","33","3218","138","29722","2.36e-5","5.98e-4","2.21","2.54e-2","5.45e-4","9.01e-6"
"GOTERM_MF_DIRECT","AMP-activated protein kinase activity","1.49%","52","3181","258","28924","2.37e-5","1.51e-3","1.83","4.43e-2","1.44e-3","1.14e-5"
"GOTERM_BP_DIRECT","regulation of postsynapse organization","0.51%","18","3218","53","29712","2.59e-5","4.37e-3","3.14","1.49e-1","4.29e-3","6.14e-6"
"GOTERM_BP_DIRECT","peptidyl-threonine phosphorylation","0.49%","17","3218","48","29712","2.60e-5","4.37e-3","3.27","1.49e-1","4.29e-3","5.80e-6"
"GOTERM_CC_DIRECT","myelin sheath","1.17%","41","3218","190","29722","2.81e-5","6.94e-4","1.99","3.01e-2","6.33e-4","1.22e-5"
"GOTERM_BP_DIRECT","cell population proliferation","1.69%","59","3218","312","29712","2.89e-5","4.73e-3","1.75","1.65e-1","4.65e-3","1.48e-5"
"GOTERM_MF_DIRECT","transmembrane transporter binding","1.11%","39","3181","175","28924","3.02e-5","1.86e-3","2.03","5.60e-2","1.77e-3","1.28e-5"
"GOTERM_BP_DIRECT","apoptotic process","2.74%","96","3218","583","29712","3.29e-5","5.25e-3","1.52","1.85e-1","5.16e-3","2.00e-5"
"GOTERM_MF_DIRECT","ubiquitin-protein transferase activity","1.40%","49","3181","241","28924","3.31e-5","1.98e-3","1.85","6.13e-2","1.89e-3","1.58e-5"
"GOTERM_BP_DIRECT","protein ubiquitination","2.20%","77","3218","443","29712","3.50e-5","5.44e-3","1.60","1.96e-1","5.35e-3","1.99e-5"
"GOTERM_MF_DIRECT","identical protein binding","8.23%","288","3181","2094","28924","3.71e-5","2.14e-3","1.25","6.83e-2","2.04e-3","2.85e-5"
"GOTERM_MF_DIRECT","transcription coregulator activity","0.89%","31","3181","127","28924","3.86e-5","2.14e-3","2.22","7.11e-2","2.04e-3","1.46e-5"
"GOTERM_BP_DIRECT","random inactivation of X chromosome","0.29%","10","3218","18","29712","3.94e-5","5.98e-3","5.13","2.17e-1","5.87e-3","4.21e-6"
"GOTERM_MF_DIRECT","lysine-acetylated histone binding","0.34%","12","3181","26","28924","4.45e-5","2.14e-3","4.20","8.15e-2","2.04e-3","6.71e-6"
"GOTERM_BP_DIRECT","positive regulation of protein phosphorylation","1.31%","46","3218","227","29712","4.48e-5","6.64e-3","1.87","2.43e-1","6.52e-3","2.11e-5"
"GOTERM_CC_DIRECT","cell projection","1.43%","50","3218","255","29722","4.85e-5","1.17e-3","1.81","5.13e-2","1.07e-3","2.37e-5"
"GOTERM_MF_DIRECT","DNA-binding transcription factor binding","1.20%","42","3181","199","28924","5.42e-5","2.14e-3","1.92","9.83e-2","2.04e-3","2.46e-5"
"GOTERM_MF_DIRECT","histone H2AS121 kinase activity","1.43%","50","3181","253","28924","5.83e-5","2.14e-3","1.80","1.05e-1","2.04e-3","2.88e-5"
"GOTERM_MF_DIRECT","DNA-dependent protein kinase activity","1.43%","50","3181","253","28924","5.83e-5","2.14e-3","1.80","1.05e-1","2.04e-3","2.88e-5"
"GOTERM_MF_DIRECT","histone H3T3 kinase activity","1.43%","50","3181","253","28924","5.83e-5","2.14e-3","1.80","1.05e-1","2.04e-3","2.88e-5"
"GOTERM_MF_DIRECT","histone H2AXS139 kinase activity","1.43%","50","3181","253","28924","5.83e-5","2.14e-3","1.80","1.05e-1","2.04e-3","2.88e-5"
"GOTERM_MF_DIRECT","histone H3S57 kinase activity","1.43%","50","3181","253","28924","5.83e-5","2.14e-3","1.80","1.05e-1","2.04e-3","2.88e-5"
"GOTERM_MF_DIRECT","histone H2AS1 kinase activity","1.43%","50","3181","253","28924","5.83e-5","2.14e-3","1.80","1.05e-1","2.04e-3","2.88e-5"
"GOTERM_MF_DIRECT","histone H3S28 kinase activity","1.43%","50","3181","253","28924","5.83e-5","2.14e-3","1.80","1.05e-1","2.04e-3","2.88e-5"
"GOTERM_MF_DIRECT","Rho-dependent protein serine/threonine kinase activity","1.43%","50","3181","253","28924","5.83e-5","2.14e-3","1.80","1.05e-1","2.04e-3","2.88e-5"
"GOTERM_MF_DIRECT","histone H3S10 kinase activity","1.43%","50","3181","253","28924","5.83e-5","2.14e-3","1.80","1.05e-1","2.04e-3","2.88e-5"
"GOTERM_MF_DIRECT","3-phosphoinositide-dependent protein kinase activity","1.43%","50","3181","253","28924","5.83e-5","2.14e-3","1.80","1.05e-1","2.04e-3","2.88e-5"
"GOTERM_MF_DIRECT","histone H2BS14 kinase activity","1.43%","50","3181","253","28924","5.83e-5","2.14e-3","1.80","1.05e-1","2.04e-3","2.88e-5"
"GOTERM_MF_DIRECT","ribosomal protein S6 kinase activity","1.43%","50","3181","253","28924","5.83e-5","2.14e-3","1.80","1.05e-1","2.04e-3","2.88e-5"
"GOTERM_MF_DIRECT","histone H4S1 kinase activity","1.43%","50","3181","253","28924","5.83e-5","2.14e-3","1.80","1.05e-1","2.04e-3","2.88e-5"
"GOTERM_MF_DIRECT","histone H2AT120 kinase activity","1.43%","50","3181","253","28924","5.83e-5","2.14e-3","1.80","1.05e-1","2.04e-3","2.88e-5"
"GOTERM_MF_DIRECT","histone H2BS36 kinase activity","1.43%","50","3181","253","28924","5.83e-5","2.14e-3","1.80","1.05e-1","2.04e-3","2.88e-5"
"GOTERM_MF_DIRECT","eukaryotic translation initiation factor 2alpha kinase activity","1.43%","50","3181","253","28924","5.83e-5","2.14e-3","1.80","1.05e-1","2.04e-3","2.88e-5"
"GOTERM_BP_DIRECT","intracellular protein transport","1.43%","50","3218","257","29712","6.00e-5","8.69e-3","1.80","3.12e-1","8.53e-3","2.97e-5"
"GOTERM_MF_DIRECT","histone H3T45 kinase activity","1.43%","50","3181","254","28924","6.46e-5","2.33e-3","1.79","1.16e-1","2.22e-3","3.20e-5"
"GOTERM_CC_DIRECT","neuromuscular junction","0.80%","28","3218","114","29722","6.72e-5","1.59e-3","2.27","7.05e-2","1.45e-3","2.47e-5"
"GOTERM_MF_DIRECT","transcription cis-regulatory region binding","1.51%","53","3181","275","28924","6.80e-5","2.40e-3","1.75","1.22e-1","2.29e-3","3.46e-5"
"GOTERM_BP_DIRECT","small GTPase-mediated signal transduction","0.77%","27","3218","108","29712","6.83e-5","9.66e-3","2.31","3.46e-1","9.49e-3","2.46e-5"
"GOTERM_MF_DIRECT","histone H3T11 kinase activity","1.43%","50","3181","255","28924","7.16e-5","2.45e-3","1.78","1.28e-1","2.34e-3","3.56e-5"
"GOTERM_MF_DIRECT","calmodulin binding","1.23%","43","3181","208","28924","7.19e-5","2.45e-3","1.88","1.28e-1","2.34e-3","3.35e-5"
"GOTERM_BP_DIRECT","chemical synaptic transmission","0.97%","34","3218","152","29712","7.27e-5","1.01e-2","2.07","3.64e-1","9.88e-3","3.02e-5"
"GOTERM_BP_DIRECT","synaptic vesicle endocytosis","0.49%","17","3218","52","29712","7.83e-5","1.06e-2","3.02","3.86e-1","1.04e-2","1.96e-5"
"GOTERM_MF_DIRECT","microtubule binding","1.49%","52","3181","270","28924","8.17e-5","2.74e-3","1.75","1.44e-1","2.61e-3","4.16e-5"
"GOTERM_MF_DIRECT","structural constituent of postsynaptic density","0.23%","8","3181","12","28924","9.25e-5","3.04e-3","6.06","1.62e-1","2.90e-3","6.98e-6"
"GOTERM_BP_DIRECT","response to endoplasmic reticulum stress","0.77%","27","3218","110","29712","9.47e-5","1.25e-2","2.27","4.46e-1","1.23e-2","3.49e-5"
"GOTERM_MF_DIRECT","phosphatidylinositol-3,4,5-trisphosphate binding","0.46%","16","3181","47","28924","9.71e-5","3.14e-3","3.10","1.69e-1","3.00e-3","2.34e-5"
"GOTERM_CC_DIRECT","dendritic shaft","0.60%","21","3218","75","29722","1.02e-4","2.35e-3","2.59","1.04e-1","2.14e-3","3.14e-5"
"GOTERM_BP_DIRECT","negative regulation of hippo signaling","0.31%","11","3218","24","29712","1.02e-4","1.32e-2","4.23","4.70e-1","1.30e-2","1.54e-5"
"GOTERM_MF_DIRECT","protein tyrosine kinase activity","0.71%","25","3181","97","28924","1.02e-4","3.26e-3","2.34","1.78e-1","3.11e-3","3.60e-5"
"GOTERM_MF_DIRECT","small GTPase binding","1.60%","56","3181","301","28924","1.11e-4","3.47e-3","1.69","1.91e-1","3.30e-3","5.88e-5"
"GOTERM_BP_DIRECT","vocalization behavior","0.29%","10","3218","20","29712","1.11e-4","1.41e-2","4.62","4.99e-1","1.39e-2","1.45e-5"
"GOTERM_MF_DIRECT","histone H3Y41 kinase activity","0.80%","28","3181","116","28924","1.20e-4","3.64e-3","2.19","2.05e-1","3.47e-3","4.60e-5"
"GOTERM_MF_DIRECT","histone H2AXY142 kinase activity","0.80%","28","3181","116","28924","1.20e-4","3.64e-3","2.19","2.05e-1","3.47e-3","4.60e-5"
"GOTERM_CC_DIRECT","synaptic membrane","0.63%","22","3218","82","29722","1.29e-4","2.93e-3","2.48","1.31e-1","2.67e-3","4.24e-5"
"GOTERM_BP_DIRECT","stem cell proliferation","0.57%","20","3218","71","29712","1.43e-4","1.78e-2","2.60","5.90e-1","1.75e-2","4.40e-5"
"GOTERM_CC_DIRECT","trans-Golgi network membrane","0.49%","17","3218","55","29722","1.63e-4","3.62e-3","2.85","1.63e-1","3.30e-3","4.42e-5"
"GOTERM_MF_DIRECT","magnesium ion binding","1.34%","47","3181","243","28924","1.68e-4","5.02e-3","1.76","2.75e-1","4.78e-3","8.50e-5"
"GOTERM_BP_DIRECT","regulation of protein stability","0.80%","28","3218","120","29712","1.70e-4","2.05e-2","2.15","6.53e-1","2.01e-2","6.68e-5"
"GOTERM_BP_DIRECT","brain development","1.29%","45","3218","233","29712","1.73e-4","2.05e-2","1.78","6.60e-1","2.01e-2","8.63e-5"
"GOTERM_BP_DIRECT","positive regulation of cell migration","1.43%","50","3218","268","29712","1.74e-4","2.05e-2","1.72","6.62e-1","2.01e-2","9.06e-5"
"GOTERM_MF_DIRECT","histone deacetylase binding","0.91%","32","3181","144","28924","1.84e-4","5.39e-3","2.02","2.96e-1","5.14e-3","7.80e-5"
"GOTERM_BP_DIRECT","cell division","1.86%","65","3218","377","29712","1.88e-4","2.17e-2","1.59","6.90e-1","2.13e-2","1.08e-4"
"GOTERM_MF_DIRECT","ATP hydrolysis activity","2.06%","72","3181","423","28924","2.01e-4","5.79e-3","1.55","3.19e-1","5.52e-3","1.17e-4"
"GOTERM_CC_DIRECT","nuclear envelope","1.26%","44","3218","228","29722","2.09e-4","4.54e-3","1.78","2.03e-1","4.14e-3","1.04e-4"
