NONHSAG000001 DDX11L1
NONHSAG000181 ENSG00000177133
NONHSAG000190 ENSG00000238260
NONHSAG000192 ENSG00000227589
NONHSAG000202 ENSG00000226374
NONHSAG000203 ENSG00000284668
NONHSAG000215 AJAP1
NONHSAG000224 ENSG00000236948
NONHSAG000230 NONHSAG000231
NONHSAG000230 RPL22
NONHSAG000231 NONHSAG000230
NONHSAG000231 RPL22
NONHSAG000233 RNF207
NONHSAG000241 ENSG00000231868
NONHSAG000262 ENSG00000237728
NONHSAG000270 RP11-338N10.1
NONHSAG000270 RP11-338N10.2
NONHSAG000271 NONHSAG000272
NONHSAG000271 ENSG00000269925
NONHSAG000272 NONHSAG000271
NONHSAG000272 ENSG00000269925
NONHSAG000273 PER3
NONHSAG000275 ENSG00000236266
NONHSAG000284 ENSG00000227634
NONHSAG000284 NONHSAG056106
NONHSAG000286 ENSG00000233645
NONHSAG000292 ENSG00000232912
NONHSAG000296 ENSG00000228423
NONHSAG000296 RERE
NONHSAG000301 ENO1
NONHSAG000310 NONHSAG000312
NONHSAG000310 ENSG00000228526
NONHSAG000311 ENSG00000234546
NONHSAG000312 NONHSAG000310
NONHSAG000312 ENSG00000228526
NONHSAG000315 ENSG00000284693
NONHSAG000316 ENSG00000284693
NONHSAG000324 CLSTN1
NONHSAG000327 ENSG00000223989
NONHSAG000328 ENSG00000285701
NONHSAG000329 LZIC
NONHSAG000331 NONHSAG000333
NONHSAG000331 ENSG00000228150
NONHSAG000331 NMNAT1
NONHSAG000333 NONHSAG000331
NONHSAG000333 ENSG00000228150
NONHSAG000333 NMNAT1
NONHSAG000334 NMNAT1
NONHSAG000335 ENSG00000241326
NONHSAG000335 NMNAT1
NONHSAG000340 KIF1B
NONHSAG000345 ENSG00000203469
NONHSAG000355 ENSG00000230337
NONHSAG000357 ENSG00000226849
NONHSAG000357 ENSG00000230337
NONHSAG000360 ENSG00000230337
NONHSAG000365 ENSG00000284646
NONHSAG000375 FBXO2
NONHSAG000386 CLCN6
NONHSAG000398 ENSG00000229484
NONHSAG000409 ENSG00000259961
NONHSAG000412 ENSG00000237445
NONHSAG000419 ENSG00000231606
NONHSAG000420 ENSG00000231606
NONHSAG000424 RP4-704D23.1
NONHSAG000424 ENSG00000234593
NONHSAG000430 NONHSAG000431
NONHSAG000430 ENSG00000228140
NONHSAG000430 ENSG00000233485
NONHSAG000431 NONHSAG000430
NONHSAG000431 ENSG00000228140
NONHSAG000431 ENSG00000233485
NONHSAG000438 ENSG00000237301
NONHSAG000442 DDI2
NONHSAG000443 ENSG00000237938
NONHSAG000444 ENSG00000224459
NONHSAG000446 ENSG00000179743
NONHSAG000447 ENSG00000179743
NONHSAG000456 ENSG00000233078
NONHSAG000464 RP11-276H7.2
NONHSAG000464 RP11-276H7.3
NONHSAG000464 ENSG00000227959
NONHSAG000468 NONHSAG000469
NONHSAG000469 NONHSAG000468
NONHSAG000472 NECAP2
NONHSAG000473 ENSG00000226029
NONHSAG000474 CROCCP3
NONHSAG000477 NONHSAG000478
NONHSAG000477 NONHSAG000483
NONHSAG000477 ENSG00000271732
NONHSAG000477 ENSG00000282143
NONHSAG000477 NONHSAG000485
NONHSAG000477 ENSG00000224174
NONHSAG000477 ENSG00000261135
NONHSAG000477 ENSG00000285853
NONHSAG000478 NONHSAG000477
NONHSAG000478 ENSG00000224174
NONHSAG000478 ENSG00000285853
NONHSAG000479 RP5-875O13.1
NONHSAG000479 ENSG00000233421
NONHSAG000483 ENSG00000271732
NONHSAG000483 NONHSAG000477
NONHSAG000485 NONHSAG000477
NONHSAG000497 ENSG00000223643
NONHSAG000498 RP11-108M9.3
NONHSAG000498 ENSG00000228549
NONHSAG000498 CROCC
NONHSAG000499 ENSG00000238142
NONHSAG000500 CROCC
NONHSAG000506 ENSG00000226526
NONHSAG000512 ENSG00000227751
NONHSAG000519 ENSG00000236648
NONHSAG000523 ENSG00000230035
NONHSAG000525 IGSF21
NONHSAG000532 ENSG00000272084
NONHSAG000532 RP5-1126H10.2
NONHSAG000536 ENSG00000230424
NONHSAG000546 CAPZB
NONHSAG000550 ENSG00000235185
NONHSAG000554 ENSG00000235434
NONHSAG000564 ENSG00000227066
NONHSAG000566 PLA2G2C
NONHSAG000571 ENSG00000226664
NONHSAG000572 NONHSAG000574
NONHSAG000574 NONHSAG000572
NONHSAG000584 ENSG00000233069
NONHSAG000585 ENSG00000203394
NONHSAG000585 RP5-930J4.4
NONHSAG000594 NONHSAG000595
NONHSAG000594 ECE1
NONHSAG000595 NONHSAG000594
NONHSAG000595 ECE1
NONHSAG000599 ENSG00000236009
NONHSAG000606 ENSG00000233431
NONHSAG000621 ENSG00000285959
NONHSAG000626 ENSG00000285959
NONHSAG000628 ENSG00000230068
NONHSAG000634 ENSG00000279625
NONHSAG000636 ENSG00000237200
NONHSAG000640 RP1-74M1.3
NONHSAG000640 EPHB2
NONHSAG000642 NONHSAG000643
NONHSAG000642 ENSG00000240553
NONHSAG000643 NONHSAG000642
NONHSAG000643 ENSG00000240553
NONHSAG000655 ASAP3
NONHSAG000658 ENSG00000235052
NONHSAG000662 ENSG00000197880
NONHSAG000682 NONHSAG000684
NONHSAG000682 ENSG00000230703
NONHSAG000682 ENSG00000225315
NONHSAG000684 NONHSAG000682
NONHSAG000684 ENSG00000230703
NONHSAG000684 ENSG00000225315
NONHSAG000687 ENSG00000230023
NONHSAG000687 GRHL3
NONHSAG000689 ENSG00000232298
NONHSAG000700 ENSG00000264443
NONHSAG000702 NCMAP
NONHSAG000715 ENSG00000229162
NONHSAG000718 ENSG00000233755
NONHSAG000720 ENSG00000231953
NONHSAG000722 ENSG00000284602
NONHSAG000722 ENSG00000284657
NONHSAG000727 SDHDP6
NONHSAG000736 ENSG00000225643
NONHSAG000736 LDLRAP1
NONHSAG000738 ENSG00000233478
NONHSAG000739 MAN1C1
NONHSAG000742 ENSG00000228172
NONHSAG000745 ENSG00000236528
NONHSAG000751 ENSG00000284309
NONHSAG000756 CNKSR1
NONHSAG000759 RP11-231P20.2
NONHSAG000760 CEP85
NONHSAG000769 ENSG00000225891
NONHSAG000770 ENSG00000225891
NONHSAG000778 ENSG00000260063
NONHSAG000786 ENSG00000226698
NONHSAG000799 ENSG00000224311
NONHSAG000807 ENSG00000241169
NONHSAG000809 ENSG00000237429
NONHSAG000812 ENSG00000233975
NONHSAG000813 ENSG00000225886
NONHSAG000816 ENSG00000270031
NONHSAG000816 STX12
NONHSAG000825 ENSG00000289576
NONHSAG000827 ENSG00000289576
NONHSAG000831 ENSG00000270605
NONHSAG000835 SNORA73A
NONHSAG000835 NONHSAG000836
NONHSAG000836 NONHSAG000835
NONHSAG000838 ENSG00000279443
NONHSAG000840 SNORA16A
NONHSAG000840 SNORA44
NONHSAG000840 SNORA61
NONHSAG000840 SNORD99
NONHSAG000843 ENSG00000229388
NONHSAG000843 ENSG00000270103
NONHSAG000843 RNU11
NONHSAG000843 RP11-442N24__B.1
NONHSAG000844 ENSG00000289291
NONHSAG000847 ENSG00000226852
NONHSAG000848 ENSG00000233427
NONHSAG000849 EPB41
NONHSAG000852 ENSG00000225750
NONHSAG000854 ENSG00000227637
NONHSAG000854 RP11-242O24.5
NONHSAG000856 MECR
NONHSAG000879 NONHSAG000880
NONHSAG000880 NONHSAG000879
NONHSAG000881 ENSG00000229607
NONHSAG000882 ENSG00000223382
NONHSAG000895 NONHSAG000896
NONHSAG000895 SNRNP40
NONHSAG000896 NONHSAG000895
NONHSAG000896 SNRNP40
NONHSAG000900 ENSG00000229044
NONHSAG000910 ENSG00000264078
NONHSAG000910 ENSG00000235790
NONHSAG000910 RP11-73M7.6
NONHSAG000919 ENSG00000203620
NONHSAG000920 NONHSAG000921
NONHSAG000920 ENSG00000269967
NONHSAG000920 ENSG00000203620
NONHSAG000921 NONHSAG000920
NONHSAG000921 ENSG00000269967
NONHSAG000921 PTP4A2
NONHSAG000922 PTP4A2
NONHSAG000926 ENSG00000203325
NONHSAG000930 ENSG00000250135
NONHSAG000934 ENSG00000224066
NONHSAG000939 EIF3I
NONHSAG000945 ENSG00000233775
NONHSAG000956 ENSG00000224409
NONHSAG000965 ENSG00000287691
NONHSAG000967 ENSG00000236065
NONHSAG000974 ENSG00000279179
NONHSAG000976 ENSG00000278997
NONHSAG000981 ENSG00000225313
NONHSAG000982 PHC2
NONHSAG000983 PHC2
NONHSAG000984 ENSG00000233246
NONHSAG000986 PHC2
NONHSAG000999 ENSG00000255811
NONHSAG001000 ENSG00000230163
NONHSAG001005 ZMYM6
NONHSAG001017 ENSG00000227409
NONHSAG001026 ENSG00000239636
NONHSAG001033 ENSG00000232335
NONHSAG001039 ENSG00000271554
NONHSAG001044 MAP7D1
NONHSAG001059 ENSG00000234481
NONHSAG001062 ENSG00000223944
NONHSAG001065 NONHSAG057682
NONHSAG001076 ENSG00000233728
NONHSAG001077 C1orf122
NONHSAG001090 ENSG00000224592
NONHSAG001091 NONHSAG001092
NONHSAG001091 ENSG00000284623
NONHSAG001092 NONHSAG001091
NONHSAG001093 ENSG00000287987
NONHSAG001093 NONHSAG001094
NONHSAG001093 ENSG00000286552
NONHSAG001094 NONHSAG001093
NONHSAG001094 ENSG00000286552
NONHSAG001104 ENSG00000273637
NONHSAG001111 MACF1
NONHSAG001112 ENSG00000226438
NONHSAG001121 ENSG00000228060
NONHSAG001135 TRIT1
NONHSAG001148 ZMPSTE24
NONHSAG001155 ENSG00000260920
NONHSAG001159 NONHSAG001162
NONHSAG001159 ENSG00000238287
NONHSAG001161 NONHSAG001162
NONHSAG001162 NONHSAG001161
NONHSAG001162 NONHSAG001159
NONHSAG001162 ENSG00000238287
NONHSAG001167 ENSG00000237899
NONHSAG001167 RP4-739H11.3
NONHSAG001168 NFYC
NONHSAG001172 ENSG00000229528
NONHSAG001178 CTPS1
NONHSAG001183 SCMH1
NONHSAG001197 RP11-486B10.3
NONHSAG001201 ENSG00000287587
NONHSAG001202 ENSG00000287587
NONHSAG001204 ENSG00000227527
NONHSAG001209 CCDC30
NONHSAG001215 ENSG00000228452
NONHSAG001219 ENSG00000228192
NONHSAG001223 NONHSAG058967
NONHSAG001225 NONHSAG058967
NONHSAG001229 ENSG00000234694
NONHSAG001236 ENSG00000229372
NONHSAG001244 ENSG00000229444
NONHSAG001245 ST3GAL3
NONHSAG001247 ENSG00000237950
NONHSAG001252 ENSG00000285649
NONHSAG001259 ENSG00000230615
NONHSAG001268 ERI3-IT1
NONHSAG001278 ENSG00000225721
NONHSAG001291 ZSWIM5
NONHSAG001304 GPBP1L1
NONHSAG001305 NONHSAG001306
NONHSAG001305 GPBP1L1
NONHSAG001306 NONHSAG001305
NONHSAG001306 GPBP1L1
NONHSAG001307 GPBP1L1
NONHSAG001311 ENSG00000230896
NONHSAG001319 ENSG00000226957
NONHSAG001321 ENSG00000227857
NONHSAG001331 RAD54L
NONHSAG001360 NONHSAG001363
NONHSAG001360 ENSG00000225506
NONHSAG001363 NONHSAG001360
NONHSAG001363 ENSG00000225506
NONHSAG001369 ENSG00000226252
NONHSAG001385 ENSG00000227947
NONHSAG001389 ENSG00000223814
NONHSAG001389 TRABD2B
NONHSAG001391 ENSG00000225028
NONHSAG001396 ENSG00000226133
NONHSAG001398 ENSG00000231413
NONHSAG001402 ENSG00000223720
NONHSAG001407 SPATA6
NONHSAG001409 SPATA6
NONHSAG001410 SPATA6
NONHSAG001415 ENSG00000286597
NONHSAG001416 ENSG00000229846
NONHSAG001417 ENSG00000230114
NONHSAG001423 ELAVL4
NONHSAG001424 ENSG00000237337
NONHSAG001425 ENSG00000233407
NONHSAG001426 ENSG00000284696
NONHSAG001428 ENSG00000284696
NONHSAG001433 ENSG00000284700
NONHSAG001433 ENSG00000225767
NONHSAG001434 ENSG00000225767
NONHSAG001446 RNF11
NONHSAG001447 RNF11
NONHSAG001451 ENSG00000238140
NONHSAG001452 NONHSAG001453
NONHSAG001452 NONHSAG001454
NONHSAG001452 ENSG00000227070
NONHSAG001453 NONHSAG001452
NONHSAG001453 ENSG00000227070
NONHSAG001454 NONHSAG001452
NONHSAG001454 ENSG00000227070
NONHSAG001455 NONHSAG001456
NONHSAG001456 NONHSAG001455
NONHSAG001459 ENSG00000266993
NONHSAG001459 OSBPL9
NONHSAG001461 NRD1
NONHSAG001462 NRD1
NONHSAG001467 ENSG00000223390
NONHSAG001469 TXNDC12
NONHSAG001478 CC2D1B
NONHSAG001479 ENSG00000287078
NONHSAG001480 ZCCHC11
NONHSAG001487 ENSG00000242391
NONHSAG001491 ENSG00000232993
NONHSAG001495 ENSG00000235563
NONHSAG001499 ENSG00000236723
NONHSAG001503 ENSG00000226754
NONHSAG001504 ENSG00000270172
NONHSAG001504 RP5-1024G6.8
NONHSAG001506 ENSG00000228838
NONHSAG001509 ENSG00000232762
NONHSAG001524 HSPB11
NONHSAG001531 NONHSAG001532
NONHSAG001531 ENSG00000280378
NONHSAG001532 NONHSAG001531
NONHSAG001532 ENSG00000280378
NONHSAG001544 ENSG00000225632
NONHSAG001547 ENSG00000232245
NONHSAG001552 ENSG00000230728
NONHSAG001560 ENSG00000233271
NONHSAG001563 USP24
NONHSAG001564 USP24
NONHSAG001567 NONHSAG001568
NONHSAG001567 ENSG00000231090
NONHSAG001568 NONHSAG001567
NONHSAG001568 ENSG00000231090
NONHSAG001574 RP11-466L17.1
NONHSAG001574 ENSG00000233079
NONHSAG001574 ENSG00000234810
NONHSAG001575 ENSG00000233079
NONHSAG001575 ENSG00000234810
NONHSAG001576 NONHSAG001578
NONHSAG001576 ENSG00000230250
NONHSAG001578 NONHSAG001576
NONHSAG001578 ENSG00000230250
NONHSAG001579 ENSG00000233079
NONHSAG001579 ENSG00000234810
NONHSAG001581 ENSG00000233079
NONHSAG001581 ENSG00000234810
NONHSAG001583 ENSG00000235612
NONHSAG001587 ENSG00000260971
NONHSAG001597 ENSG00000229913
NONHSAG001597 RP11-378I13.1
NONHSAG001600 ENSG00000236341
NONHSAG001601 DAB1
NONHSAG001604 DAB1
NONHSAG001609 ENSG00000235038
NONHSAG001610 DAB1
NONHSAG001612 OMA1
NONHSAG001612 DAB1
NONHSAG001616 ENSG00000283445
NONHSAG001617 MYSM1
NONHSAG001627 RP11-63G10.2
NONHSAG001627 ENSG00000232453
NONHSAG001627 ENSG00000231740
NONHSAG001630 NONHSAG001632
NONHSAG001630 ENSG00000235215
NONHSAG001632 NONHSAG001630
NONHSAG001632 ENSG00000235215
NONHSAG001634 ENSG00000224609
NONHSAG001637 ENSG00000224609
NONHSAG001640 FGGY
NONHSAG001642 ENSG00000226883
NONHSAG001643 FGGY
NONHSAG001649 ENSG00000238242
NONHSAG001657 NONHSAG001658
NONHSAG001658 NONHSAG001657
NONHSAG001668 ENSG00000271200
NONHSAG001669 INADL
NONHSAG001673 INADL
NONHSAG001681 DOCK7
NONHSAG001683 ENSG00000235545
NONHSAG001686 ENSG00000234318
NONHSAG001689 ENSG00000229537
NONHSAG001701 ENSG00000286429
NONHSAG001705 ENSG00000116652
NONHSAG001705 EFCAB7
NONHSAG001708 PGM1
NONHSAG001714 ENSG00000284928
NONHSAG001722 JAK1
NONHSAG001724 ENSG00000231485
NONHSAG001724 JAK1
NONHSAG001729 NONHSAG001730
NONHSAG001729 ENSG00000229294
NONHSAG001730 NONHSAG001729
NONHSAG001730 ENSG00000229294
NONHSAG001731 LEPR
NONHSAG001732 ENSG00000237852
NONHSAG001732 LEPR
NONHSAG001735 LEPR
NONHSAG001742 SGIP1
NONHSAG001758 ENSG00000235200
NONHSAG001759 ENSG00000235200
NONHSAG001773 ENSG00000233589
NONHSAG001779 ENSG00000223883
NONHSAG001781 ENSG00000235446
NONHSAG001784 LRRC7
NONHSAG001785 LRRC7
NONHSAG001786 ENSG00000237919
NONHSAG001789 LRRC7
NONHSAG001791 ENSG00000228988
NONHSAG001796 ENSG00000226088
NONHSAG001807 ENSG00000235782
NONHSAG001815 ZRANB2-AS2
NONHSAG001818 NEGR1
NONHSAG001823 ENSG00000225087
NONHSAG001824 ENSG00000285808
NONHSAG001824 ENSG00000227016
NONHSAG001825 ENSG00000285808
NONHSAG001825 ENSG00000227016
NONHSAG001826 NONHSAG001828
NONHSAG001828 NONHSAG001826
NONHSAG001834 ENSG00000223479
NONHSAG001837 ENSG00000237324
NONHSAG001837 AC093158.1
NONHSAG001838 TNNI3K
NONHSAG001846 NONHSAG001847
NONHSAG001846 ENSG00000224127
NONHSAG001846 ENSG00000224149
NONHSAG001847 NONHSAG001846
NONHSAG001847 ENSG00000224127
NONHSAG001847 ENSG00000224149
NONHSAG001850 RP4-682C21.5
NONHSAG001852 SNORD45C
NONHSAG001854 ENSG00000225605
NONHSAG001854 RP11-550H2.1
NONHSAG001856 ENSG00000230027
NONHSAG001862 ENSG00000287870
NONHSAG001862 ENSG00000289212
NONHSAG001866 ENSG00000233099
NONHSAG001869 ZZZ3
NONHSAG001872 USP33
NONHSAG001874 USP33
NONHSAG001881 ENSG00000237413
NONHSAG001889 NONHSAG001893
NONHSAG001889 ENSG00000235011
NONHSAG001889 ENSG00000285462
NONHSAG001893 ENSG00000235011
NONHSAG001893 NONHSAG001889
NONHSAG001894 ENSG00000288822
NONHSAG001895 ENSG00000288822
NONHSAG001905 ENSG00000224326
NONHSAG001911 ENSG00000227960
NONHSAG001911 LPHN2
NONHSAG001912 ENSG00000234953
NONHSAG001913 NONHSAG001914
NONHSAG001913 ENSG00000236676
NONHSAG001914 NONHSAG001913
NONHSAG001914 ENSG00000236676
NONHSAG001915 LPHN2
NONHSAG001916 LPHN2
NONHSAG001921 ENSG00000233290
NONHSAG001922 ENSG00000233290
NONHSAG001926 NONHSAG001928
NONHSAG001926 ENSG00000230817
NONHSAG001928 NONHSAG001926
NONHSAG001928 ENSG00000230817
NONHSAG001931 ENSG00000231364
NONHSAG001932 ENSG00000231364
NONHSAG001933 NONHSAG059172
NONHSAG001933 RP11-475O6.1
NONHSAG001934 ENSG00000237076
NONHSAG001935 TTLL7
NONHSAG001938 ENSG00000233061
NONHSAG001938 TTLL7
NONHSAG001941 ENSG00000271576
NONHSAG001946 SAMD13
NONHSAG001954 ENSG00000284882
NONHSAG001963 MCOLN3
NONHSAG001965 ENSG00000280099
NONHSAG001968 ENSG00000223653
NONHSAG001970 DDAH1
NONHSAG001973 CYR61
NONHSAG001983 RP4-612B15.3
NONHSAG001983 ENSG00000236915
NONHSAG001987 ENSG00000267734
NONHSAG002002 ENSG00000286758
NONHSAG002005 NONHSAG002008
NONHSAG002008 NONHSAG002005
NONHSAG002014 ENSG00000286802
NONHSAG002022 ENSG00000237568
NONHSAG002022 ENSG00000284734
NONHSAG002024 ENSG00000286548
NONHSAG002027 NONHSAG002029
NONHSAG002027 ENSG00000231999
NONHSAG002029 NONHSAG002027
NONHSAG002029 ENSG00000231999
NONHSAG002030 ENSG00000230735
NONHSAG002036 ENSG00000231613
NONHSAG002044 ENSG00000229201
NONHSAG002048 ENSG00000233593
NONHSAG002049 ENSG00000225446
NONHSAG002049 ENSG00000285532
NONHSAG002057 NONHSAG002058
NONHSAG002058 NONHSAG002057
NONHSAG002067 RPAP2
NONHSAG002079 MTF2
NONHSAG002085 CCDC18
NONHSAG002091 ENSG00000224093
NONHSAG002091 RP5-1033H22.2
NONHSAG002096 ENSG00000260464
NONHSAG002096 RP4-561L24.3
NONHSAG002115 ARHGAP29
NONHSAG002116 ARHGAP29
NONHSAG002118 NONHSAG002119
NONHSAG002118 RP11-148B18.1
NONHSAG002118 ENSG00000226835
NONHSAG002119 NONHSAG002118
NONHSAG002119 RP11-148B18.1
NONHSAG002119 ENSG00000226835
NONHSAG002120 ENSG00000236098
NONHSAG002127 ENSG00000223675
NONHSAG002133 ENSG00000235501
NONHSAG002135 ENSG00000230427
NONHSAG002135 ENSG00000235501
NONHSAG002138 ENSG00000231992
NONHSAG002138 TMEM56
NONHSAG002142 ENSG00000226026
NONHSAG002144 ENSG00000228852
NONHSAG002149 ENSG00000237954
NONHSAG002156 ENSG00000237435
NONHSAG002168 ENSG00000232542
NONHSAG002168 DPYD
NONHSAG002175 DPYD
NONHSAG002177 ENSG00000259946
NONHSAG002177 NONHSAG059277
NONHSAG002177 MIR137HG
NONHSAG002177 DPYD
NONHSAG002183 NONHSAG056688
NONHSAG002188 NONHSAG002189
NONHSAG002188 ENSG00000232825
NONHSAG002189 NONHSAG002188
NONHSAG002189 ENSG00000232825
NONHSAG002204 SLC35A3
NONHSAG002205 ENSG00000241073
NONHSAG002210 ENSG00000285530
NONHSAG002212 ENSG00000224616
NONHSAG002219 ENSG00000228086
NONHSAG002227 ENSG00000235795
NONHSAG002228 NONHSAG002229
NONHSAG002228 NONHSAG002230
NONHSAG002228 NONHSAG002231
NONHSAG002228 NONHSAG002232
NONHSAG002228 ENSG00000233184
NONHSAG002229 NONHSAG002228
NONHSAG002229 ENSG00000233184
NONHSAG002230 NONHSAG002228
NONHSAG002230 ENSG00000233184
NONHSAG002231 NONHSAG002228
NONHSAG002231 ENSG00000233184
NONHSAG002232 NONHSAG002228
NONHSAG002232 ENSG00000233184
NONHSAG002234 ENSG00000289355
NONHSAG002236 ENSG00000225938
NONHSAG002239 S1PR1
NONHSAG002248 NONHSAG002249
NONHSAG002249 NONHSAG002248
NONHSAG002252 ENSG00000233359
NONHSAG002255 ENSG00000230864
NONHSAG002258 COL11A1
NONHSAG002266 RNPC3
NONHSAG002268 AMY2B
NONHSAG002293 ENSG00000237460
NONHSAG002295 NTNG1
NONHSAG002296 NTNG1
NONHSAG002303 ENSG00000280186
NONHSAG002303 ENSG00000260879
NONHSAG002304 ENSG00000238122
NONHSAG002307 ENSG00000224698
NONHSAG002325 SCARNA2
NONHSAG002325 ENSG00000270066
NONHSAG002329 KIAA1324
NONHSAG002334 PSMA5
NONHSAG002343 ENSG00000254942
NONHSAG002343 RP5-1160K1.8
NONHSAG002344 ENSG00000225113
NONHSAG002346 ENSG00000228703
NONHSAG002358 ENSG00000228420
NONHSAG002359 ENSG00000235005
NONHSAG002360 ENSG00000261055
NONHSAG002367 ENSG00000258634
NONHSAG002367 STRIP1
NONHSAG002370 ENSG00000227091
NONHSAG002376 ENSG00000227963
NONHSAG002376 RP5-1074L1.1
NONHSAG002378 ENSG00000273373
NONHSAG002378 LAMTOR5-AS1
NONHSAG002383 ENSG00000282887
NONHSAG002383 ENSG00000283999
NONHSAG002387 ENSG00000259834
NONHSAG002387 ENSG00000288847
NONHSAG002392 ENSG00000261654
NONHSAG002393 ENSG00000232811
NONHSAG002398 ENSG00000229283
NONHSAG002406 ENSG00000260948
NONHSAG002408 ENSG00000243960
NONHSAG002417 FAM212B
NONHSAG002418 ENSG00000227811
NONHSAG002427 ENSG00000231437
NONHSAG002430 ENSG00000231246
NONHSAG002443 CAPZA1
NONHSAG002445 ENSG00000225075
NONHSAG002454 NONHSAG002455
NONHSAG002454 ENSG00000224167
NONHSAG002455 NONHSAG002454
NONHSAG002455 ENSG00000224167
NONHSAG002459 ENSG00000287807
NONHSAG002460 NONHSAG002462
NONHSAG002462 NONHSAG002460
NONHSAG002465 LRIG2
NONHSAG002470 NONHSAG002471
NONHSAG002470 PHTF1
NONHSAG002471 NONHSAG002470
NONHSAG002471 PHTF1
NONHSAG002472 PHTF1
NONHSAG002475 ENSG00000231128
NONHSAG002475 AP4B1-AS1
NONHSAG002485 ENSG00000282048
NONHSAG002486 ENSG00000232895
NONHSAG002497 CSDE1
NONHSAG002501 SYCP1
NONHSAG002506 ENSG00000285698
NONHSAG002507 ENSG00000228035
NONHSAG002518 RP11-12L8.1
NONHSAG002518 ENSG00000228127
NONHSAG002520 ENSG00000237993
NONHSAG002526 ENSG00000287217
NONHSAG002531 ATP1A1
NONHSAG002534 ENSG00000224950
NONHSAG002534 RP5-1086K13.1
NONHSAG002534 NONHSAG058061
NONHSAG002534 RP4-655J12.4
NONHSAG002534 NONHSAG002537
NONHSAG002536 ENSG00000286276
NONHSAG002537 NONHSAG002534
NONHSAG002543 ENSG00000236137
NONHSAG002547 TTF2
NONHSAG002555 ENSG00000236866
NONHSAG002567 ENSG00000287980
NONHSAG002570 ENSG00000239216
NONHSAG002570 ENSG00000226172
NONHSAG002574 WARS2
NONHSAG002576 NONHSAG002579
NONHSAG002576 NONHSAG002580
NONHSAG002576 NONHSAG002581
NONHSAG002576 NONHSAG002582
NONHSAG002576 NONHSAG002584
NONHSAG002576 ENSG00000231365
NONHSAG002578 ENSG00000227712
NONHSAG002579 NONHSAG002576
NONHSAG002579 ENSG00000231365
NONHSAG002580 NONHSAG002576
NONHSAG002580 ENSG00000231365
NONHSAG002581 NONHSAG002576
NONHSAG002581 ENSG00000231365
NONHSAG002582 NONHSAG002576
NONHSAG002582 ENSG00000231365
NONHSAG002583 ENSG00000227712
NONHSAG002584 NONHSAG002576
NONHSAG002584 ENSG00000231365
NONHSAG002586 ENSG00000227712
NONHSAG002587 NONHSAG056790
NONHSAG002587 ENSG00000232650
NONHSAG002587 RP5-834N19.1
NONHSAG002587 ENSG00000231365
NONHSAG002588 ENSG00000227712
NONHSAG002589 HAO2
