lncRNA_id,chr,start,end,strand,gene_id,gene_name
lNONMMUG000230,chr1,21905146,21922122,+,NONMMUG000230,NONMMUG000230
lNONMMUG000233,chr1,21959841,21962531,+,NONMMUG000233,AC125483.1
lNONMMUG000240,chr1,23048294,23235673,-,NONMMUG000240,NONMMUG000240
lNONMMUG000261,chr1,24257690,24258902,-,NONMMUG000261,NONMMUG000261
lNONMMUG000267,chr1,24613965,24614332,+,NONMMUG000267,NONMMUG000267
lNONMMUG000271,chr1,24615709,24615972,+,NONMMUG000271,NONMMUG000271
lNONMMUG000272,chr1,24687457,24690244,+,NONMMUG000272,NONMMUG000272
lNONMMUG000282,chr1,25314275,25317708,-,NONMMUG000282,NONMMUG000282
lNONMMUG000297,chr1,26616948,26881593,+,NONMMUG000297,NONMMUG000297
lNONMMUG000303,chr1,28622987,29081192,+,NONMMUG000303,NONMMUG000303
lNONMMUG000321,chr1,31117140,31150105,+,NONMMUG000321,RPI002_013890
lNONMMUG000340,chr1,33792134,33800569,-,NONMMUG000340,Zfp451
lNONMMUG000370,chr1,36001595,36011076,-,NONMMUG000370,RPI002_013834
lNONMMUG000398,chr1,36557700,36565614,+,NONMMUG000398,D430040D24Rik
lNONMMUG000402,chr1,36701671,36702549,-,NONMMUG000402,Actr1b
lNONMMUG000404,chr1,36715536,36744792,-,NONMMUG000404,NONMMUG000404
lNONMMUG000405,chr1,36710202,36723399,+,NONMMUG000405,NONMMUG000405
lNONMMUG000413,chr1,37259752,37270127,-,NONMMUG000413,NONMMUG000413
lNONMMUG000445,chr1,38235419,38246748,+,NONMMUG000445,Gm16150
lNONMMUG000448,chr1,38307901,38311930,+,NONMMUG000448,Gm16151
lNONMMUG000471,chr1,39547569,39555539,-,NONMMUG000471,Gm15832
lNONMMUG000483,chr1,40028765,40085854,-,NONMMUG000483,AC161534.1
lNONMMUG000494,chr1,40855191,40856886,+,NONMMUG000494,NONMMUG000494
lNONMMUG000501,chr1,41781807,41939560,+,NONMMUG000501,NONMMUG000501
lNONMMUG000504,chr1,42587013,42694842,-,NONMMUG000504,2610017I09Rik
lNONMMUG000506,chr1,42692936,42703539,+,NONMMUG000506,NONMMUG000506
lNONMMUG000507,chr1,42694742,42746633,+,NONMMUG000507,Gm20646
lNONMMUG000511,chr1,42864356,42868337,+,NONMMUG000511,NONMMUG000511
lNONMMUG000531,chr1,44085969,44087828,-,NONMMUG000531,NONMMUG000531
lNONMMUG000533,chr1,44143187,44144515,+,NONMMUG000533,NONMMUG000533
lNONMMUG000539,chr1,44553093,44557043,+,NONMMUG000539,NONMMUG000539
lNONMMUG000541,chr1,44572904,44575357,+,NONMMUG000541,NONMMUG000541
lNONMMUG000542,chr1,44590625,44594483,+,NONMMUG000542,NONMMUG000542
lNONMMUG000575,chr1,51218385,51333932,-,NONMMUG000575,9330175M20Rik
lNONMMUG000578,chr1,51470300,51478399,-,NONMMUG000578,NONMMUG000578
lNONMMUG000600,chr1,52507453,52582679,+,NONMMUG000600,NONMMUG000600
lNONMMUG000634,chr1,54681708,54767524,+,NONMMUG000634,NONMMUG000634
lNONMMUG000637,chr1,54985160,54987387,-,NONMMUG000637,NONMMUG000637
lNONMMUG000660,chr1,55874514,55877150,-,NONMMUG000660,RPI002_008032
lNONMMUG000668,chr1,56971411,57050084,+,NONMMUG000668,9130024F11Rik
lNONMMUG000674,chr1,57331647,57382094,-,NONMMUG000674,AC161493.1
lNONMMUG000679,chr1,57909834,57917111,-,NONMMUG000679,Gm17234
lNONMMUG000687,chr1,58254116,58315657,-,NONMMUG000687,Gm15759
lNONMMUG000690,chr1,58358909,58393329,-,NONMMUG000690,NONMMUG000690
lNONMMUG000693,chr1,58414595,58416929,-,NONMMUG000693,Clk1
lNONMMUG000698,chr1,58505143,58525672,+,NONMMUG000698,Gm15834
lNONMMUG000731,chr1,59585553,59617806,-,NONMMUG000731,NONMMUG000731
lNONMMUG000732,chr1,59639445,59670798,-,NONMMUG000732,Sumo1
lNONMMUG000736,chr1,59716537,59719044,+,NONMMUG000736,NONMMUG000736
lNONMMUG000741,chr1,59886968,60786856,-,NONMMUG000741,NONMMUG000741
lNONMMUG000744,chr1,59983563,59985346,+,NONMMUG000744,NONMMUG000744
lNONMMUG000745,chr1,60038910,60103623,+,NONMMUG000745,NONMMUG000745
lNONMMUG000766,chr1,60520813,60522291,-,NONMMUG000766,NONMMUG000766
lNONMMUG000769,chr1,60543938,60545712,-,NONMMUG000769,NONMMUG000769
lNONMMUG000778,chr1,60778842,60803790,+,NONMMUG000778,2310016D23Rik
lNONMMUG000791,chr1,61301908,61307746,+,NONMMUG000791,Gm11587
lNONMMUG000793,chr1,61440100,61469475,+,NONMMUG000793,Gm11588
lNONMMUG000809,chr1,62542488,62544635,+,NONMMUG000809,RPI002_010292
lNONMMUG000816,chr1,62798136,62799307,+,NONMMUG000816,NONMMUG000816
lNONMMUG000827,chr1,63068808,63071791,-,NONMMUG000827,NONMMUG000827
lNONMMUG000829,chr1,63097797,63101612,-,NONMMUG000829,NONMMUG000829
lNONMMUG000830,chr1,63113077,63158295,+,NONMMUG000830,Gm11602
lNONMMUG000833,chr1,63200312,63207967,+,NONMMUG000833,Gm11607
lNONMMUG000856,chr1,64185990,64303043,-,NONMMUG000856,NONMMUG000856
lNONMMUG000865,chr1,64679868,64690660,-,NONMMUG000865,2810408I11Rik
lNONMMUG000866,chr1,64724019,64725636,+,NONMMUG000866,NONMMUG000866
lNONMMUG000867,chr1,64736239,64740607,+,NONMMUG000867,NONMMUG000867
lNONMMUG000884,chr1,66322275,66328797,-,NONMMUG000884,Gm10558
lNONMMUG000894,chr1,66722831,66724449,+,NONMMUG000894,NONMMUG000894
lNONMMUG000901,chr1,66775361,66780107,+,NONMMUG000901,NONMMUG000901
lNONMMUG000902,chr1,66783912,66786445,+,NONMMUG000902,Gm15789
lNONMMUG000918,chr1,68005085,68025896,+,NONMMUG000918,Gm15671
lNONMMUG000927,chr1,68639423,68640829,-,NONMMUG000927,NONMMUG000927
lNONMMUG000943,chr1,69091912,69106741,-,NONMMUG000943,Gm16076
lNONMMUG000948,chr1,69513931,69547707,+,NONMMUG000948,NONMMUG000948
lNONMMUG000949,chr1,69531213,69537349,-,NONMMUG000949,NONMMUG000949
lNONMMUG000959,chr1,71027538,71029071,-,NONMMUG000959,RPI002_011185
lNONMMUG000964,chr1,71557551,71559609,+,NONMMUG000964,Atic
lNONMMUG000966,chr1,71652836,71662843,+,NONMMUG000966,NONMMUG000966
lNONMMUG000977,chr1,72236464,72274870,+,NONMMUG000977,AC120136.1
lNONMMUG000992,chr1,72936044,73101122,+,NONMMUG000992,RPI002_009345
lNONMMUG000994,chr1,72963785,72973173,+,NONMMUG000994,RPI002_009342
lNONMMUG001001,chr1,73269063,73309338,+,NONMMUG001001,NONMMUG001001
lNONMMUG001003,chr1,73398967,73430790,+,NONMMUG001003,NONMMUG001003
lNONMMUG001006,chr1,73617904,73905230,-,NONMMUG001006,6030407O03Rik
lNONMMUG001008,chr1,73899779,74394677,-,NONMMUG001008,NONMMUG001008
lNONMMUG001043,chr1,74850894,74879953,+,NONMMUG001043,Gm16582
lNONMMUG001060,chr1,75368209,75375015,-,NONMMUG001060,Gm15179
lNONMMUG001077,chr1,76489067,76502028,+,NONMMUG001077,NONMMUG001077
lNONMMUG001078,chr1,76890430,77027792,-,NONMMUG001078,NONMMUG001078
lNONMMUG001082,chr1,77492070,77563743,+,NONMMUG001082,NONMMUG001082
lNONMMUG001099,chr1,78699113,78740728,-,NONMMUG001099,NONMMUG001099
lNONMMUG001101,chr1,78791622,79224511,-,NONMMUG001101,NONMMUG001101
lNONMMUG001132,chr1,81520337,81522970,-,NONMMUG001132,RPI002_007841
lNONMMUG001165,chr1,83659549,83911644,-,NONMMUG001165,NONMMUG001165
lNONMMUG001171,chr1,84721198,84721955,-,NONMMUG001171,NONMMUG001171
lNONMMUG001181,chr1,84990494,85245709,-,NONMMUG001181,C130026I21Rik
lNONMMUG001182,chr1,85103003,85266099,-,NONMMUG001182,NONMMUG001182
lNONMMUG001183,chr1,85105478,85267059,-,NONMMUG001183,NONMMUG001183
lNONMMUG001184,chr1,85105945,85277816,+,NONMMUG001184,A530040E14Rik
lNONMMUG001206,chr1,85775270,85790481,+,NONMMUG001206,RPI002_013012
lNONMMUG001220,chr1,86120882,86123561,+,NONMMUG001220,NONMMUG001220
lNONMMUG001222,chr1,86154809,86177701,+,NONMMUG001222,NONMMUG001222
lNONMMUG001224,chr1,86274747,86301375,-,NONMMUG001224,Gm16341
lNONMMUG001228,chr1,86359573,86373792,+,NONMMUG001228,C130036L24Rik
lNONMMUG001229,chr1,86420772,86426211,-,NONMMUG001229,RPI002_012974
lNONMMUG001258,chr1,87149709,87164876,+,NONMMUG001258,NONMMUG001258
lNONMMUG001268,chr1,87449869,87450769,+,NONMMUG001268,NONMMUG001268
lNONMMUG001270,chr1,87543634,87544692,-,NONMMUG001270,Gm6153
lNONMMUG001279,chr1,87776937,87777209,+,NONMMUG001279,Gm25395
lNONMMUG001288,chr1,88055392,88218584,-,NONMMUG001288,Gm20528
lNONMMUG001336,chr1,90337962,90437842,+,NONMMUG001336,NONMMUG001336
lNONMMUG001354,chr1,91305091,91321102,-,NONMMUG001354,Gm17090
lNONMMUG001362,chr1,91916259,91919551,+,NONMMUG001362,RPI002_013242
lNONMMUG001367,chr1,92180228,92198234,+,NONMMUG001367,RPI002_008586
lNONMMUG001379,chr1,92710751,92719442,+,NONMMUG001379,RPI002_013764
lNONMMUG001383,chr1,92820957,92837896,-,NONMMUG001383,NONMMUG001383
lNONMMUG001386,chr1,92908377,92911283,-,NONMMUG001386,AC119846.1
lNONMMUG001394,chr1,93122847,93124592,-,NONMMUG001394,RPI002_012078
lNONMMUG001427,chr1,95990658,96021758,-,NONMMUG001427,RPI002_011047
lNONMMUG001432,chr1,96871125,96907796,+,NONMMUG001432,AC102484.1
lNONMMUG001449,chr1,98031115,98057681,-,NONMMUG001449,B230216N24Rik
lNONMMUG001455,chr1,98589516,98765815,+,NONMMUG001455,NONMMUG001455
lNONMMUG001456,chr1,99082732,99651633,+,NONMMUG001456,NONMMUG001456
lNONMMUG001464,chr1,101262777,101280327,+,NONMMUG001464,RPI002_011206
lNONMMUG001484,chr1,105736981,105738497,+,NONMMUG001484,NONMMUG001484
lNONMMUG001490,chr1,105978833,105990396,-,NONMMUG001490,NONMMUG001490
lNONMMUG001500,chr1,106541942,106575046,+,NONMMUG001500,D630008O14Rik
lNONMMUG001507,chr1,106767986,106769928,-,NONMMUG001507,NONMMUG001507
lNONMMUG001517,chr1,107917258,108056874,+,NONMMUG001517,NONMMUG001517
lNONMMUG001533,chr1,113212788,113261890,-,NONMMUG001533,RPI002_008072
lNONMMUG001554,chr1,118458651,118459267,-,NONMMUG001554,NONMMUG001554
lNONMMUG001563,chr1,118858771,118860562,-,NONMMUG001563,RPI002_011661
lNONMMUG001567,chr1,119077405,119086080,+,NONMMUG001567,RPI002_011662
lNONMMUG001569,chr1,119305552,119323360,+,NONMMUG001569,RPI002_011663
lNONMMUG001572,chr1,119440145,119446531,-,NONMMUG001572,NONMMUG001572
lNONMMUG001576,chr1,119520065,119528185,-,NONMMUG001576,NONMMUG001576
lNONMMUG001601,chr1,120621739,120690403,+,NONMMUG001601,NONMMUG001601
lNONMMUG001604,chr1,121087375,121178441,+,NONMMUG001604,B230209K01Rik
lNONMMUG001638,chr1,124973781,125318869,+,NONMMUG001638,NONMMUG001638
lNONMMUG001680,chr1,128103330,128106899,+,NONMMUG001680,NONMMUG001680
lNONMMUG001692,chr1,128620099,128622499,+,NONMMUG001692,RPI002_013364
lNONMMUG001701,chr1,129801156,129803130,+,NONMMUG001701,RPI002_008058
lNONMMUG001702,chr1,129833147,129836988,+,NONMMUG001702,NONMMUG001702
lNONMMUG001708,chr1,130422823,130437915,+,NONMMUG001708,Gm15674
lNONMMUG001711,chr1,130462575,130557076,+,NONMMUG001711,Gm16083
lNONMMUG001733,chr1,131379851,131381707,-,NONMMUG001733,NONMMUG001733
lNONMMUG001736,chr1,131638310,131639288,+,NONMMUG001736,RPI002_011481
lNONMMUG001745,chr1,131962953,132014486,+,NONMMUG001745,Elk4
lNONMMUG001758,chr1,132342022,132351499,+,NONMMUG001758,RPI002_011596
lNONMMUG001766,chr1,132453962,132477046,-,NONMMUG001766,AC107846.1
lNONMMUG001821,chr1,134642253,134646521,-,NONMMUG001821,AC122771.1
lNONMMUG001823,chr1,134779592,134783023,-,NONMMUG001823,Ppp1r12b
lNONMMUG001825,chr1,134799894,134801985,-,NONMMUG001825,NONMMUG001825
lNONMMUG001841,chr1,135152962,135153806,+,NONMMUG001841,Gm15445
lNONMMUG001843,chr1,135248560,135266443,+,NONMMUG001843,AC130277.1
lNONMMUG001855,chr1,135501730,135503395,-,NONMMUG001855,NONMMUG001855
lNONMMUG001865,chr1,136126177,136131272,-,NONMMUG001865,Gm15850
lNONMMUG001873,chr1,136259406,136274407,+,NONMMUG001873,AC124550.2
lNONMMUG001876,chr1,136375708,136401316,+,NONMMUG001876,RPI002_009260
lNONMMUG001881,chr1,136566661,136624809,+,NONMMUG001881,NONMMUG001881
lNONMMUG001886,chr1,136669636,136690805,+,NONMMUG001886,RP23-302C16.2
lNONMMUG001887,chr1,136692802,136726142,+,NONMMUG001887,linc1423
lNONMMUG001889,chr1,136744674,136837659,-,NONMMUG001889,NONMMUG001889
lNONMMUG001897,chr1,137898594,138013100,+,NONMMUG001897,RP23-393I12.2
lNONMMUG001898,chr1,137907606,137916092,+,NONMMUG001898,NONMMUG001898
lNONMMUG001899,chr1,137917689,137969240,-,NONMMUG001899,RP23-393I12.6
lNONMMUG001904,chr1,137957824,137960627,+,NONMMUG001904,NONMMUG001904
lNONMMUG001913,chr1,138376148,138381226,+,NONMMUG001913,RPI002_013604
lNONMMUG001919,chr1,138829165,138830557,-,NONMMUG001919,NONMMUG001919
lNONMMUG001923,chr1,138963707,138966441,+,NONMMUG001923,Dennd1b
lNONMMUG001924,chr1,138968509,138971851,+,NONMMUG001924,NONMMUG001924
lNONMMUG001931,chr1,139155151,139157782,+,NONMMUG001931,NONMMUG001931
lNONMMUG001935,chr1,139379451,139402852,+,NONMMUG001935,4933436E23Rik
lNONMMUG001938,chr1,139440268,139454932,-,NONMMUG001938,NONMMUG001937
lNONMMUG001939,chr1,139449598,139453002,+,NONMMUG001939,NONMMUG001937
lNONMMUG001946,chr1,140113669,140116518,-,NONMMUG001946,RPI002_008834
lNONMMUG001965,chr1,143777641,143781307,+,NONMMUG001965,NONMMUG001965
lNONMMUG001982,chr1,146809830,146841697,-,NONMMUG001982,Gm15584
lNONMMUG002005,chr1,150625264,150783499,+,NONMMUG002005,Gm20631
lNONMMUG002010,chr1,151133294,151155212,-,NONMMUG002010,NONMMUG002010
lNONMMUG002016,chr1,151339603,151345231,-,NONMMUG002016,RPI002_012756
lNONMMUG002025,chr1,151445304,151447741,+,NONMMUG002025,NONMMUG002025
lNONMMUG002028,chr1,151719000,151720819,+,NONMMUG002028,NONMMUG002028
lNONMMUG002033,chr1,151820627,151822328,+,NONMMUG002033,NONMMUG002033
lNONMMUG002046,chr1,152524009,152762410,-,NONMMUG002046,NONMMUG002046
lNONMMUG002055,chr1,152902490,152908071,+,NONMMUG002055,NONMMUG002055
lNONMMUG002057,chr1,153035614,153450508,+,NONMMUG002057,NONMMUG002057
lNONMMUG002069,chr1,153721239,153740247,-,NONMMUG002069,NONMMUG002069
lNONMMUG002076,chr1,153979891,154119241,-,NONMMUG002076,RPI002_008342
lNONMMUG002092,chr1,154996652,155057179,-,NONMMUG002092,NONMMUG002092
lNONMMUG002110,chr1,155844970,155848677,-,NONMMUG002110,NONMMUG002110
lNONMMUG002114,chr1,155971505,155992205,+,NONMMUG002114,NONMMUG002114
lNONMMUG002123,chr1,156067950,156068855,+,NONMMUG002123,NONMMUG002123
lNONMMUG002146,chr1,156972759,157054034,-,NONMMUG002146,NONMMUG002146
lNONMMUG002172,chr1,158967700,158980463,-,NONMMUG002172,Pappa2
lNONMMUG002176,chr1,159289058,159289807,+,NONMMUG002176,NONMMUG002176
lNONMMUG002184,chr1,159985642,160025756,-,NONMMUG002184,NONMMUG002178
lNONMMUG002193,chr1,160264323,160443072,+,NONMMUG002193,NONMMUG002193
lNONMMUG002215,chr1,161034421,161038539,+,NONMMUG002215,Gas5
lNONMMUG002226,chr1,161876871,161882914,+,NONMMUG002226,NONMMUG002226
lNONMMUG002228,chr1,161969199,162027106,+,NONMMUG002228,Pigc
lNONMMUG002239,chr1,162217622,162225550,+,NONMMUG002239,NONMMUG002239
lNONMMUG002240,chr1,162221297,162222830,-,NONMMUG002240,NONMMUG002240
lNONMMUG002265,chr1,163280355,163287045,+,NONMMUG002265,Gm20471
lNONMMUG002273,chr1,163966014,163968239,-,NONMMUG002273,BC055324
lNONMMUG002275,chr1,164002808,164012838,-,NONMMUG002275,RPI002_013233
lNONMMUG002297,chr1,164858648,164884287,-,NONMMUG002297,NONMMUG002297
lNONMMUG002308,chr1,165230370,165235125,-,NONMMUG002308,NONMMUG002308
lNONMMUG002309,chr1,165277759,165282577,-,NONMMUG002309,NONMMUG002309
lNONMMUG002323,chr1,165632310,165633202,-,NONMMUG002323,NONMMUG002323
lNONMMUG002327,chr1,165775518,165789368,+,NONMMUG002327,Gm16565
lNONMMUG002342,chr1,166002957,166038259,+,NONMMUG002342,AC138358.1
lNONMMUG002358,chr1,166974022,167002055,-,NONMMUG002358,AC119212.1
lNONMMUG002385,chr1,168672144,168675906,-,NONMMUG002385,RPI002_013434
lNONMMUG002394,chr1,169969408,169972396,+,NONMMUG002394,AC139673.1
lNONMMUG002399,chr1,170193432,170196641,-,NONMMUG002399,NONMMUG002399
lNONMMUG002409,chr1,170867540,170881722,+,NONMMUG002409,Gm9929
lNONMMUG002412,chr1,170981943,170986466,+,NONMMUG002412,RPI002_011517
lNONMMUG002413,chr1,171075507,171083974,+,NONMMUG002413,NONMMUG002413
lNONMMUG002424,chr1,171276575,171276893,+,NONMMUG002424,B4galt3
lNONMMUG002429,chr1,171320541,171329144,-,NONMMUG002429,NONMMUG002429
lNONMMUG002458,chr1,172184426,172185733,+,NONMMUG002458,NONMMUG002458
lNONMMUG002470,chr1,172380995,172384075,+,NONMMUG002470,NONMMUG002470
lNONMMUG002482,chr1,172538132,172559895,-,NONMMUG002482,4933439K11Rik
lNONMMUG002489,chr1,173420603,173455595,+,NONMMUG002489,Aim2
lNONMMUG002499,chr1,174225163,174228491,+,NONMMUG002499,RPI002_011138
lNONMMUG002510,chr1,175909748,175910853,+,NONMMUG002510,RPI002_012299
lNONMMUG002514,chr1,176179200,176181635,+,NONMMUG002514,NONMMUG002514
lNONMMUG002522,chr1,176793955,176794220,+,NONMMUG002522,Gm25288
lNONMMUG002526,chr1,176913211,176915666,+,NONMMUG002526,NONMMUG002526
lNONMMUG002535,chr1,177186716,177190158,-,NONMMUG002535,NONMMUG002535
lNONMMUG002537,chr1,177257452,177278976,+,NONMMUG002537,NONMMUG002537
lNONMMUG002539,chr1,177428337,177443270,-,NONMMUG002539,AC120370.1
lNONMMUG002545,chr1,177679741,177729756,-,NONMMUG002545,NONMMUG002545
lNONMMUG002547,chr1,177792032,177795521,-,NONMMUG002547,NONMMUG002547
lNONMMUG002553,chr1,178251777,178252575,+,NONMMUG002553,NONMMUG002553
lNONMMUG002557,chr1,178321108,178324172,-,NONMMUG002557,Gm16586
lNONMMUG002558,chr1,178324342,178329930,-,NONMMUG002558,Hnrnpu
lNONMMUG002568,chr1,178898581,178917615,-,NONMMUG002568,Gm16564
lNONMMUG002575,chr1,179237176,179240474,-,NONMMUG002575,NONMMUG002575
lNONMMUG002581,chr1,179538416,179538935,+,NONMMUG002581,Gm15480
lNONMMUG002582,chr1,179546461,179547763,+,NONMMUG002582,Cnst
lNONMMUG002586,chr1,179721330,179730035,+,NONMMUG002586,RPI002_009203
lNONMMUG002610,chr1,180552462,180559440,-,NONMMUG002610,RPI002_011245
lNONMMUG002618,chr1,180813464,180817024,+,NONMMUG002618,Gm16067
lNONMMUG002639,chr1,181194610,181197491,-,NONMMUG002639,NONMMUG002639
lNONMMUG002645,chr1,181400463,181400756,-,NONMMUG002645,Gm16547
lNONMMUG002652,chr1,181686429,181690242,-,NONMMUG002652,RPI002_012103
lNONMMUG002659,chr1,181934623,181937564,-,NONMMUG002659,NONMMUG002659
lNONMMUG002664,chr1,182019674,182051527,+,NONMMUG002664,NONMMUG002664
lNONMMUG002670,chr1,182125868,182128499,+,NONMMUG002670,NONMMUG002670
lNONMMUG002692,chr1,183696436,183699173,+,NONMMUG002692,RPI002_013500
lNONMMUG002746,chr1,186999057,187240357,+,NONMMUG002746,NONMMUG002746
lNONMMUG002760,chr1,187793323,187795543,+,NONMMUG002760,Esrrg
lNONMMUG002768,chr1,188558058,188562065,+,NONMMUG002768,RPI002_009197
lNONMMUG002773,chr1,189064894,189066433,+,NONMMUG002773,RPI002_013633
lNONMMUG002816,chr1,191224461,191293705,+,NONMMUG002816,D730003I15Rik
lNONMMUG002823,chr1,191398659,191403469,-,NONMMUG002823,NONMMUG002823
lNONMMUG002828,chr1,191420346,191432806,-,NONMMUG002828,RPI002_012448
lNONMMUG002831,chr1,191487232,191490315,+,NONMMUG002831,NONMMUG002831
lNONMMUG002832,chr1,191490341,191491517,+,NONMMUG002832,RPI002_008987
lNONMMUG002836,chr1,191551433,191551993,-,NONMMUG002836,RPI002_010950
lNONMMUG002837,chr1,191570820,191575499,-,NONMMUG002837,RPI002_010527
lNONMMUG002846,chr1,191886129,191907527,-,NONMMUG002846,1700034H15Rik
lNONMMUG002853,chr1,192128107,192129490,-,NONMMUG002853,NONMMUG002853
lNONMMUG002881,chr1,193650011,193788423,+,NONMMUG002881,NONMMUG002881
lNONMMUG002883,chr1,194175970,194223154,-,NONMMUG002883,NONMMUG002883
lNONMMUG002890,chr1,194682112,194771446,-,NONMMUG002890,NONMMUG002890
lNONMMUG002913,chr10,6858514,6860023,+,NONMMUG002913,NONMMUG002913
lNONMMUG002931,chr10,4611995,4671884,+,NONMMUG002931,Esr1
lNONMMUG002937,chr10,4409032,4423369,-,NONMMUG002937,NONMMUG002937
lNONMMUG002938,chr10,4409031,4423369,+,NONMMUG002938,Gm16153
lNONMMUG002948,chr10,3964474,3967295,+,NONMMUG002948,NONMMUG002948
lNONMMUG002958,chr10,3510239,3539746,+,NONMMUG002958,NONMMUG002958
lNONMMUG002962,chr10,3125090,3133193,-,NONMMUG002962,RPI002_012478
lNONMMUG002971,chr10,7731106,7761099,-,NONMMUG002971,Gm20470
lNONMMUG002976,chr10,7792920,7812874,+,NONMMUG002976,NONMMUG002976
lNONMMUG002977,chr10,7818371,7820793,+,NONMMUG002977,NONMMUG002977
lNONMMUG002994,chr10,8722218,8723096,-,NONMMUG002994,NONMMUG002994
lNONMMUG003022,chr10,9901157,9922938,+,NONMMUG003022,NONMMUG003022
lNONMMUG003024,chr10,9976626,10207981,+,NONMMUG003024,NONMMUG003024
lNONMMUG003038,chr10,11186244,11234547,-,NONMMUG003038,Gm16577
lNONMMUG003043,chr10,11418637,11423323,+,NONMMUG003043,NONMMUG003043
lNONMMUG003049,chr10,12420803,12421596,-,NONMMUG003049,NONMMUG003049
lNONMMUG003051,chr10,12916645,12923127,-,NONMMUG003051,AL691505.1
lNONMMUG003054,chr10,13090844,13095900,+,NONMMUG003054,Plagl1
lNONMMUG003056,chr10,13257742,13259294,-,NONMMUG003056,NONMMUG003056
lNONMMUG003075,chr10,13967023,14007406,-,NONMMUG003075,AC158608.1
lNONMMUG003078,chr10,13979591,13982179,+,NONMMUG003078,NONMMUG003078
lNONMMUG003089,chr10,14544489,14551090,+,NONMMUG003089,NONMMUG003089
lNONMMUG003091,chr10,14656734,14660522,-,NONMMUG003091,NONMMUG003091
lNONMMUG003092,chr10,14664219,14680546,+,NONMMUG003092,Gm16234
lNONMMUG003095,chr10,14703886,14705487,-,NONMMUG003095,Vta1
lNONMMUG003096,chr10,15181102,15477855,+,NONMMUG003096,NONMMUG003096
lNONMMUG003100,chr10,15791664,15807018,+,NONMMUG003100,RPI002_011535
lNONMMUG003101,chr10,16876958,17095807,-,NONMMUG003101,NONMMUG003101
lNONMMUG003107,chr10,18011267,18011505,+,NONMMUG003107,Gm17711
lNONMMUG003123,chr10,18743468,18838313,+,NONMMUG003123,NONMMUG003123
lNONMMUG003126,chr10,18917297,18951727,+,NONMMUG003126,RPI002_012263
lNONMMUG003131,chr10,19141748,19207947,+,NONMMUG003131,NONMMUG003131
lNONMMUG003134,chr10,19290988,19325817,+,NONMMUG003134,NONMMUG003134
lNONMMUG003186,chr10,22074236,22103313,+,NONMMUG003186,RP23-58L22.3
lNONMMUG003188,chr10,22144296,22151647,-,NONMMUG003188,RP23-58L22.2
lNONMMUG003190,chr10,22187012,22302835,-,NONMMUG003190,RP24-547D11.2
lNONMMUG003194,chr10,22306701,22321765,+,NONMMUG003194,RP24-547D11.3
lNONMMUG003207,chr10,22731087,22748371,+,NONMMUG003207,NONMMUG003207
lNONMMUG003209,chr10,22814059,22823330,+,NONMMUG003209,NONMMUG003209
lNONMMUG003231,chr10,24425369,24597109,-,NONMMUG003231,Gm15270
lNONMMUG003240,chr10,24930723,24957728,-,NONMMUG003240,RPI002_012064
lNONMMUG003254,chr10,25536385,25703427,+,NONMMUG003254,NONMMUG003254
lNONMMUG003270,chr10,27389865,27397225,+,NONMMUG003270,NONMMUG003270
