lncRNA_id,chr,start,end,strand,gene_id,gene_name
lNONMMUG000191,chr1,19063298,19104840,-,NONMMUG000191,Gm15825
lNONMMUG000195,chr1,19606038,19636879,+,NONMMUG000195,RPI002_013101
lNONMMUG000210,chr1,21166435,21187893,+,NONMMUG000210,NONMMUG000210
lNONMMUG000233,chr1,21959841,21962531,+,NONMMUG000233,AC125483.1
lNONMMUG000236,chr1,22392051,22393954,-,NONMMUG000236,NONMMUG000236
lNONMMUG000237,chr1,22693253,22694659,-,NONMMUG000237,NONMMUG000237
lNONMMUG000258,chr1,24062951,24063549,-,NONMMUG000258,NONMMUG000258
lNONMMUG000265,chr1,24459003,24462370,-,NONMMUG000265,NONMMUG000265
lNONMMUG000267,chr1,24613965,24614332,+,NONMMUG000267,NONMMUG000267
lNONMMUG000282,chr1,25314275,25317708,-,NONMMUG000282,NONMMUG000282
lNONMMUG000283,chr1,25325865,25328398,-,NONMMUG000283,NONMMUG000283
lNONMMUG000285,chr1,25362563,25365820,-,NONMMUG000285,NONMMUG000285
lNONMMUG000288,chr1,25672244,25676239,-,NONMMUG000288,NONMMUG000288
lNONMMUG000290,chr1,25722037,25724778,-,NONMMUG000290,NONMMUG000290
lNONMMUG000291,chr1,25755342,25759364,-,NONMMUG000291,NONMMUG000291
lNONMMUG000293,chr1,25797280,25800905,-,NONMMUG000293,NONMMUG000293
lNONMMUG000297,chr1,26616948,26881593,+,NONMMUG000297,NONMMUG000297
lNONMMUG000324,chr1,32473756,32475565,+,NONMMUG000324,NONMMUG000324
lNONMMUG000327,chr1,32523825,32526917,+,NONMMUG000327,NONMMUG000327
lNONMMUG000328,chr1,32539027,32542455,+,NONMMUG000328,NONMMUG000328
lNONMMUG000373,chr1,36054185,36060265,-,NONMMUG000373,NONMMUG000373
lNONMMUG000392,chr1,36490133,36492986,+,NONMMUG000392,NONMMUG000392
lNONMMUG000398,chr1,36557700,36565614,+,NONMMUG000398,D430040D24Rik
lNONMMUG000431,chr1,37865298,37871389,+,NONMMUG000431,AC119189.1
lNONMMUG000433,chr1,37890565,37891106,+,NONMMUG000433,Mrpl30
lNONMMUG000451,chr1,38384948,38393975,+,NONMMUG000451,Gm16152
lNONMMUG000474,chr1,39650175,39663416,+,NONMMUG000474,AC119809.1
lNONMMUG000483,chr1,40028765,40085854,-,NONMMUG000483,AC161534.1
lNONMMUG000494,chr1,40855191,40856886,+,NONMMUG000494,NONMMUG000494
lNONMMUG000501,chr1,41781807,41939560,+,NONMMUG000501,NONMMUG000501
lNONMMUG000504,chr1,42587013,42694842,-,NONMMUG000504,2610017I09Rik
lNONMMUG000506,chr1,42692936,42703539,+,NONMMUG000506,NONMMUG000506
lNONMMUG000507,chr1,42694742,42746633,+,NONMMUG000507,Gm20646
lNONMMUG000508,chr1,42707071,42713708,-,NONMMUG000508,RP23-71K9.4
lNONMMUG000515,chr1,43125328,43128243,-,NONMMUG000515,NONMMUG000515
lNONMMUG000532,chr1,44119967,44127660,+,NONMMUG000532,Bivm
lNONMMUG000537,chr1,44466611,44468725,-,NONMMUG000537,NONMMUG000537
lNONMMUG000539,chr1,44553093,44557043,+,NONMMUG000539,NONMMUG000539
lNONMMUG000541,chr1,44572904,44575357,+,NONMMUG000541,NONMMUG000541
lNONMMUG000542,chr1,44590625,44594483,+,NONMMUG000542,NONMMUG000542
lNONMMUG000543,chr1,44739674,44744949,-,NONMMUG000543,NONMMUG000543
lNONMMUG000549,chr1,45485835,45493052,-,NONMMUG000549,RPI001_808050
lNONMMUG000557,chr1,46849528,46850479,-,NONMMUG000557,NONMMUG000557
lNONMMUG000575,chr1,51218385,51333932,-,NONMMUG000575,9330175M20Rik
lNONMMUG000578,chr1,51470300,51478399,-,NONMMUG000578,NONMMUG000578
lNONMMUG000579,chr1,51507085,51596718,-,NONMMUG000579,NONMMUG000579
lNONMMUG000589,chr1,52185689,52186917,-,NONMMUG000589,NONMMUG000589
lNONMMUG000592,chr1,52212544,52214477,-,NONMMUG000592,NONMMUG000592
lNONMMUG000593,chr1,52226522,52229551,-,NONMMUG000593,NONMMUG000593
lNONMMUG000625,chr1,53822930,53823860,-,NONMMUG000625,NONMMUG000625
lNONMMUG000628,chr1,54167350,54167885,-,NONMMUG000628,NONMMUG000628
lNONMMUG000632,chr1,54475357,54477598,-,NONMMUG000632,NONMMUG000632
lNONMMUG000635,chr1,54737165,54738575,-,NONMMUG000635,NONMMUG000635
lNONMMUG000636,chr1,54909936,54916594,-,NONMMUG000636,NONMMUG000636
lNONMMUG000646,chr1,55226080,55235623,+,NONMMUG000646,AC122223.1
lNONMMUG000648,chr1,55244348,55245854,+,NONMMUG000648,NONMMUG000648
lNONMMUG000663,chr1,55931240,55972328,+,NONMMUG000663,NONMMUG000663
lNONMMUG000668,chr1,56971411,57050084,+,NONMMUG000668,9130024F11Rik
lNONMMUG000674,chr1,57331647,57382094,-,NONMMUG000674,AC161493.1
lNONMMUG000679,chr1,57909834,57917111,-,NONMMUG000679,Gm17234
lNONMMUG000687,chr1,58254116,58315657,-,NONMMUG000687,Gm15759
lNONMMUG000690,chr1,58358909,58393329,-,NONMMUG000690,NONMMUG000690
lNONMMUG000730,chr1,59532990,59549521,-,NONMMUG000730,NONMMUG000730
lNONMMUG000731,chr1,59585553,59617806,-,NONMMUG000731,NONMMUG000731
lNONMMUG000737,chr1,59762214,59764271,-,NONMMUG000737,NONMMUG000737
lNONMMUG000745,chr1,60038910,60103623,+,NONMMUG000745,NONMMUG000745
lNONMMUG000757,chr1,60336292,60338318,+,NONMMUG000757,NONMMUG000757
lNONMMUG000766,chr1,60520813,60522291,-,NONMMUG000766,NONMMUG000766
lNONMMUG000770,chr1,60564805,60565759,-,NONMMUG000770,NONMMUG000770
lNONMMUG000778,chr1,60778842,60803790,+,NONMMUG000778,2310016D23Rik
lNONMMUG000791,chr1,61301908,61307746,+,NONMMUG000791,Gm11587
lNONMMUG000797,chr1,61654422,61657149,+,NONMMUG000797,NONMMUG000797
lNONMMUG000809,chr1,62542488,62544635,+,NONMMUG000809,RPI002_010292
lNONMMUG000815,chr1,62790917,62795114,-,NONMMUG000815,NONMMUG000815
lNONMMUG000822,chr1,62907279,62936871,-,NONMMUG000822,NONMMUG000822
lNONMMUG000833,chr1,63200312,63207967,+,NONMMUG000833,Gm11607
lNONMMUG000855,chr1,64114181,64118226,-,NONMMUG000855,NONMMUG000855
lNONMMUG000856,chr1,64185990,64303043,-,NONMMUG000856,NONMMUG000856
lNONMMUG000865,chr1,64679868,64690660,-,NONMMUG000865,2810408I11Rik
lNONMMUG000867,chr1,64736239,64740607,+,NONMMUG000867,NONMMUG000867
lNONMMUG000885,chr1,66384613,66386307,+,NONMMUG000885,NONMMUG000885
lNONMMUG000901,chr1,66775361,66780107,+,NONMMUG000901,NONMMUG000901
lNONMMUG000919,chr1,68087098,68090725,-,NONMMUG000919,NONMMUG000919
lNONMMUG000925,chr1,68489037,68492614,-,NONMMUG000925,NONMMUG000925
lNONMMUG000935,chr1,68901019,68903173,-,NONMMUG000935,NONMMUG000935
lNONMMUG000936,chr1,68945477,68948511,-,NONMMUG000936,NONMMUG000936
lNONMMUG000938,chr1,68998386,69000269,-,NONMMUG000938,NONMMUG000938
lNONMMUG000943,chr1,69091912,69106741,-,NONMMUG000943,Gm16076
lNONMMUG000948,chr1,69513931,69547707,+,NONMMUG000948,NONMMUG000948
lNONMMUG000953,chr1,69768958,69789267,+,NONMMUG000953,NONMMUG000953
lNONMMUG000966,chr1,71652836,71662843,+,NONMMUG000966,NONMMUG000966
lNONMMUG000972,chr1,71958997,72038734,-,NONMMUG000972,NONMMUG000972
lNONMMUG000977,chr1,72236464,72274870,+,NONMMUG000977,AC120136.1
lNONMMUG000979,chr1,72307462,72310135,+,NONMMUG000979,NONMMUG000979
lNONMMUG000984,chr1,72570511,72579022,-,NONMMUG000984,NONMMUG000984
lNONMMUG000992,chr1,72936044,73101122,+,NONMMUG000992,RPI002_009345
lNONMMUG000994,chr1,72963785,72973173,+,NONMMUG000994,RPI002_009342
lNONMMUG001006,chr1,73617904,73905230,-,NONMMUG001006,6030407O03Rik
lNONMMUG001008,chr1,73899779,74394677,-,NONMMUG001008,NONMMUG001008
lNONMMUG001015,chr1,74253595,74257972,+,NONMMUG001015,NONMMUG001013
lNONMMUG001018,chr1,74295591,74298867,+,NONMMUG001018,NONMMUG001018
lNONMMUG001042,chr1,74819252,74825479,-,NONMMUG001042,NONMMUG001042
lNONMMUG001043,chr1,74850894,74879953,+,NONMMUG001043,Gm16582
lNONMMUG001058,chr1,75236635,75240522,+,NONMMUG001058,NONMMUG001058
lNONMMUG001060,chr1,75368209,75375015,-,NONMMUG001060,Gm15179
lNONMMUG001076,chr1,76484510,76510014,-,NONMMUG001076,NONMMUG001076
lNONMMUG001077,chr1,76489067,76502028,+,NONMMUG001077,NONMMUG001077
lNONMMUG001082,chr1,77492070,77563743,+,NONMMUG001082,NONMMUG001082
lNONMMUG001092,chr1,78325627,78347319,-,NONMMUG001092,NONMMUG001092
lNONMMUG001099,chr1,78699113,78740728,-,NONMMUG001099,NONMMUG001099
lNONMMUG001101,chr1,78791622,79224511,-,NONMMUG001101,NONMMUG001101
lNONMMUG001114,chr1,80274730,80276413,-,NONMMUG001114,NONMMUG001114
lNONMMUG001129,chr1,81109719,81112202,+,NONMMUG001129,NONMMUG001129
lNONMMUG001132,chr1,81520337,81522970,-,NONMMUG001132,RPI002_007841
lNONMMUG001135,chr1,82309853,82317618,-,NONMMUG001135,NONMMUG001135
lNONMMUG001178,chr1,84839864,84842828,+,NONMMUG001178,NONMMUG001178
lNONMMUG001214,chr1,85933246,85937332,-,NONMMUG001214,NONMMUG001214
lNONMMUG001222,chr1,86154809,86177701,+,NONMMUG001222,NONMMUG001222
lNONMMUG001228,chr1,86359573,86373792,+,NONMMUG001228,C130036L24Rik
lNONMMUG001229,chr1,86420772,86426211,-,NONMMUG001229,RPI002_012974
lNONMMUG001230,chr1,86434690,86436036,+,NONMMUG001230,NONMMUG001230
lNONMMUG001258,chr1,87149709,87164876,+,NONMMUG001258,NONMMUG001258
lNONMMUG001288,chr1,88055392,88218584,-,NONMMUG001288,Gm20528
lNONMMUG001298,chr1,88275120,88277273,-,NONMMUG001298,NONMMUG001298
lNONMMUG001300,chr1,88329522,88352931,-,NONMMUG001300,4930453O03Rik
lNONMMUG001301,chr1,88428872,88463092,-,NONMMUG001301,NONMMUG001301
lNONMMUG001323,chr1,89838283,89861634,+,NONMMUG001323,NONMMUG001323
lNONMMUG001327,chr1,89930233,89933290,+,NONMMUG001327,RPI002_013322
lNONMMUG001336,chr1,90337962,90437842,+,NONMMUG001336,NONMMUG001336
lNONMMUG001353,chr1,91298385,91311778,+,NONMMUG001353,NONMMUG001353
lNONMMUG001367,chr1,92180228,92198234,+,NONMMUG001367,RPI002_008586
lNONMMUG001378,chr1,92690065,92730840,-,NONMMUG001378,NONMMUG001378
lNONMMUG001383,chr1,92820957,92837896,-,NONMMUG001383,NONMMUG001383
lNONMMUG001384,chr1,92842176,92848771,-,NONMMUG001384,NONMMUG001384
lNONMMUG001386,chr1,92908377,92911283,-,NONMMUG001386,AC119846.1
lNONMMUG001387,chr1,92909354,92910781,+,NONMMUG001387,NONMMUG001387
lNONMMUG001389,chr1,92933525,92950590,-,NONMMUG001389,NONMMUG001389
lNONMMUG001403,chr1,93445471,93454515,+,NONMMUG001403,NONMMUG001403
lNONMMUG001430,chr1,96612056,96662573,-,NONMMUG001430,NONMMUG001430
lNONMMUG001432,chr1,96871125,96907796,+,NONMMUG001432,AC102484.1
lNONMMUG001436,chr1,97535469,97550634,+,NONMMUG001436,NONMMUG001436
lNONMMUG001455,chr1,98589516,98765815,+,NONMMUG001455,NONMMUG001455
lNONMMUG001464,chr1,101262777,101280327,+,NONMMUG001464,RPI002_011206
lNONMMUG001469,chr1,103928015,104197301,+,NONMMUG001469,NONMMUG001469
lNONMMUG001471,chr1,104776113,104779128,+,NONMMUG001471,NONMMUG001471
lNONMMUG001477,chr1,105244633,105264072,-,NONMMUG001477,NONMMUG001477
lNONMMUG001480,chr1,105356006,105361817,+,NONMMUG001480,AC124553.1
lNONMMUG001484,chr1,105736981,105738497,+,NONMMUG001484,NONMMUG001484
lNONMMUG001490,chr1,105978833,105990396,-,NONMMUG001490,NONMMUG001490
lNONMMUG001493,chr1,106151431,106171524,-,NONMMUG001493,NONMMUG001493
lNONMMUG001504,chr1,106712977,106714005,-,NONMMUG001504,NONMMUG001504
lNONMMUG001505,chr1,106720409,106723315,-,NONMMUG001505,NONMMUG001505
lNONMMUG001517,chr1,107917258,108056874,+,NONMMUG001517,NONMMUG001517
lNONMMUG001518,chr1,107963152,107978493,-,NONMMUG001518,NONMMUG001518
lNONMMUG001522,chr1,109996793,109998668,+,NONMMUG001522,Cdh7
lNONMMUG001529,chr1,112377414,112401077,-,NONMMUG001529,NONMMUG001529
lNONMMUG001530,chr1,112402518,112417069,-,NONMMUG001530,NONMMUG001530
lNONMMUG001533,chr1,113212788,113261890,-,NONMMUG001533,RPI002_008072
lNONMMUG001538,chr1,113891384,113964134,-,NONMMUG001538,AC122932.1
lNONMMUG001567,chr1,119077405,119086080,+,NONMMUG001567,RPI002_011662
lNONMMUG001569,chr1,119305552,119323360,+,NONMMUG001569,RPI002_011663
lNONMMUG001570,chr1,119329150,119385581,+,NONMMUG001570,NONMMUG001570
lNONMMUG001576,chr1,119520065,119528185,-,NONMMUG001576,NONMMUG001576
lNONMMUG001601,chr1,120621739,120690403,+,NONMMUG001601,NONMMUG001601
lNONMMUG001604,chr1,121087375,121178441,+,NONMMUG001604,B230209K01Rik
lNONMMUG001623,chr1,123363739,123367234,-,NONMMUG001623,NONMMUG001623
lNONMMUG001631,chr1,123827298,123830159,-,NONMMUG001631,NONMMUG001631
lNONMMUG001632,chr1,124029972,124032899,-,NONMMUG001632,NONMMUG001632
lNONMMUG001664,chr1,127753615,127774092,-,NONMMUG001664,NONMMUG001664
lNONMMUG001680,chr1,128103330,128106899,+,NONMMUG001680,NONMMUG001680
lNONMMUG001684,chr1,128171630,128174758,+,NONMMUG001684,NONMMUG001684
lNONMMUG001701,chr1,129801156,129803130,+,NONMMUG001701,RPI002_008058
lNONMMUG001711,chr1,130462575,130557076,+,NONMMUG001711,Gm16083
lNONMMUG001733,chr1,131379851,131381707,-,NONMMUG001733,NONMMUG001733
lNONMMUG001745,chr1,131962953,132014486,+,NONMMUG001745,Elk4
lNONMMUG001749,chr1,132036804,132067946,+,NONMMUG001749,AC107837.1
lNONMMUG001753,chr1,132200348,132209544,+,NONMMUG001753,NONMMUG001753
lNONMMUG001754,chr1,132198414,132203957,-,NONMMUG001754,AC124108.1
lNONMMUG001757,chr1,132321808,132325306,+,NONMMUG001757,NONMMUG001757
lNONMMUG001766,chr1,132453962,132477046,-,NONMMUG001766,AC107846.1
lNONMMUG001771,chr1,132729352,132732826,+,NONMMUG001771,Gm10538
lNONMMUG001777,chr1,132954209,132972714,-,NONMMUG001777,NONMMUG001777
lNONMMUG001790,chr1,133643535,133661380,-,NONMMUG001790,NONMMUG001790
lNONMMUG001799,chr1,133906530,133914823,+,NONMMUG001799,Gm15851
lNONMMUG001818,chr1,134577581,134579449,+,NONMMUG001818,NONMMUG001818
lNONMMUG001821,chr1,134642253,134646521,-,NONMMUG001821,AC122771.1
lNONMMUG001823,chr1,134779592,134783023,-,NONMMUG001823,Ppp1r12b
lNONMMUG001834,chr1,134987807,134990214,+,NONMMUG001834,NONMMUG001834
lNONMMUG001843,chr1,135248560,135266443,+,NONMMUG001843,AC130277.1
lNONMMUG001865,chr1,136126177,136131272,-,NONMMUG001865,Gm15850
lNONMMUG001866,chr1,136140313,136144588,+,NONMMUG001866,NONMMUG001866
lNONMMUG001873,chr1,136259406,136274407,+,NONMMUG001873,AC124550.2
lNONMMUG001876,chr1,136375708,136401316,+,NONMMUG001876,RPI002_009260
lNONMMUG001881,chr1,136566661,136624809,+,NONMMUG001881,NONMMUG001881
lNONMMUG001883,chr1,136568222,136587309,+,NONMMUG001883,NONMMUG001883
lNONMMUG001889,chr1,136744674,136837659,-,NONMMUG001889,NONMMUG001889
lNONMMUG001908,chr1,138123872,138175245,-,NONMMUG001908,Ptprc
lNONMMUG001922,chr1,138960442,138962903,-,NONMMUG001922,NONMMUG001922
lNONMMUG001923,chr1,138963707,138966441,+,NONMMUG001923,Dennd1b
lNONMMUG001927,chr1,139054620,139055813,+,NONMMUG001927,NONMMUG001927
lNONMMUG001938,chr1,139440268,139454932,-,NONMMUG001938,NONMMUG001937
lNONMMUG001939,chr1,139449598,139453002,+,NONMMUG001939,NONMMUG001937
lNONMMUG001948,chr1,140570175,140656404,-,NONMMUG001948,NONMMUG001948
lNONMMUG001962,chr1,143746751,143749401,+,NONMMUG001962,Glrx2
lNONMMUG001965,chr1,143777641,143781307,+,NONMMUG001965,NONMMUG001965
lNONMMUG001975,chr1,146419435,146495367,-,NONMMUG001975,NONMMUG001975
lNONMMUG001976,chr1,146477646,146482355,-,NONMMUG001976,NONMMUG001976
lNONMMUG001977,chr1,146494759,146495844,+,NONMMUG001977,NONMMUG001977
lNONMMUG001985,chr1,148234516,148249203,-,NONMMUG001985,NONMMUG001985
lNONMMUG001993,chr1,150074872,150099963,-,NONMMUG001993,AC114655.1
lNONMMUG002016,chr1,151339603,151345231,-,NONMMUG002016,RPI002_012756
lNONMMUG002026,chr1,151496556,151499585,-,NONMMUG002026,NONMMUG002026
lNONMMUG002033,chr1,151820627,151822328,+,NONMMUG002033,NONMMUG002033
lNONMMUG002046,chr1,152524009,152762410,-,NONMMUG002046,NONMMUG002046
lNONMMUG002055,chr1,152902490,152908071,+,NONMMUG002055,NONMMUG002055
lNONMMUG002057,chr1,153035614,153450508,+,NONMMUG002057,NONMMUG002057
lNONMMUG002061,chr1,153377868,153397044,-,NONMMUG002061,NONMMUG002061
lNONMMUG002069,chr1,153721239,153740247,-,NONMMUG002069,NONMMUG002069
lNONMMUG002075,chr1,153899311,153900228,-,NONMMUG002075,NONMMUG002075
lNONMMUG002076,chr1,153979891,154119241,-,NONMMUG002076,RPI002_008342
lNONMMUG002078,chr1,154028951,154057320,+,NONMMUG002078,NONMMUG002078
lNONMMUG002092,chr1,154996652,155057179,-,NONMMUG002092,NONMMUG002092
lNONMMUG002093,chr1,155063446,155083424,-,NONMMUG002093,AC163325.1
lNONMMUG002095,chr1,155195434,155234527,-,NONMMUG002095,NONMMUG002095
lNONMMUG002114,chr1,155971505,155992205,+,NONMMUG002114,NONMMUG002114
lNONMMUG002120,chr1,156035724,156036977,+,NONMMUG002120,NONMMUG002120
lNONMMUG002146,chr1,156972759,157054034,-,NONMMUG002146,NONMMUG002146
lNONMMUG002147,chr1,156992572,157018764,+,NONMMUG002147,NONMMUG002147
lNONMMUG002157,chr1,157347338,157350043,-,NONMMUG002157,NONMMUG002157
lNONMMUG002170,chr1,158534806,158537408,+,NONMMUG002170,NONMMUG002170
lNONMMUG002173,chr1,159134271,159166481,+,NONMMUG002173,NONMMUG002173
lNONMMUG002176,chr1,159289058,159289807,+,NONMMUG002176,NONMMUG002176
lNONMMUG002193,chr1,160264323,160443072,+,NONMMUG002193,NONMMUG002193
lNONMMUG002205,chr1,160755686,160759689,+,NONMMUG002205,NONMMUG002205
lNONMMUG002215,chr1,161034421,161038539,+,NONMMUG002215,Gas5
lNONMMUG002226,chr1,161876871,161882914,+,NONMMUG002226,NONMMUG002226
lNONMMUG002228,chr1,161969199,162027106,+,NONMMUG002228,Pigc
lNONMMUG002239,chr1,162217622,162225550,+,NONMMUG002239,NONMMUG002239
lNONMMUG002267,chr1,163306797,163309067,-,NONMMUG002267,NONMMUG002267
lNONMMUG002273,chr1,163966014,163968239,-,NONMMUG002273,BC055324
lNONMMUG002275,chr1,164002808,164012838,-,NONMMUG002275,RPI002_013233
lNONMMUG002287,chr1,164458508,164473755,-,NONMMUG002287,NONMMUG002287
lNONMMUG002288,chr1,164458525,164464484,+,NONMMUG002288,NONMMUG002288
lNONMMUG002294,chr1,164681981,164714928,+,NONMMUG002294,NONMMUG002294
lNONMMUG002295,chr1,164797447,164899591,-,NONMMUG002295,NONMMUG002295
lNONMMUG002298,chr1,164862189,164936777,+,NONMMUG002298,NONMMUG002298
lNONMMUG002303,chr1,164974190,165091930,-,NONMMUG002303,NONMMUG002303
lNONMMUG002305,chr1,165062825,165109176,+,NONMMUG002305,NONMMUG002305
lNONMMUG002309,chr1,165277759,165282577,-,NONMMUG002309,NONMMUG002309
lNONMMUG002314,chr1,165460636,165463646,+,NONMMUG002314,Mpc2
lNONMMUG002324,chr1,165703854,165706414,-,NONMMUG002324,NONMMUG002324
lNONMMUG002327,chr1,165775518,165789368,+,NONMMUG002327,Gm16565
lNONMMUG002341,chr1,165997253,166001286,-,NONMMUG002341,NONMMUG002341
lNONMMUG002342,chr1,166002957,166038259,+,NONMMUG002342,AC138358.1
lNONMMUG002352,chr1,166379740,166380833,+,NONMMUG002352,NONMMUG002352
lNONMMUG002358,chr1,166974022,167002055,-,NONMMUG002358,AC119212.1
lNONMMUG002369,chr1,167373932,167375013,+,NONMMUG002369,NONMMUG002369
lNONMMUG002381,chr1,168410526,168412614,-,NONMMUG002381,NONMMUG002381
lNONMMUG002385,chr1,168672144,168675906,-,NONMMUG002385,RPI002_013434
lNONMMUG002393,chr1,169932697,169934503,-,NONMMUG002393,Gm15852
lNONMMUG002394,chr1,169969408,169972396,+,NONMMUG002394,AC139673.1
lNONMMUG002409,chr1,170867540,170881722,+,NONMMUG002409,Gm9929
lNONMMUG002413,chr1,171075507,171083974,+,NONMMUG002413,NONMMUG002413
lNONMMUG002429,chr1,171320541,171329144,-,NONMMUG002429,NONMMUG002429
lNONMMUG002433,chr1,171361104,171362028,+,NONMMUG002433,NONMMUG002433
lNONMMUG002440,chr1,171500567,171504111,-,NONMMUG002440,NONMMUG002440
lNONMMUG002463,chr1,172312359,172319790,-,NONMMUG002463,NONMMUG002463
lNONMMUG002466,chr1,172344503,172349875,-,NONMMUG002466,NONMMUG002466
lNONMMUG002482,chr1,172538132,172559895,-,NONMMUG002482,4933439K11Rik
lNONMMUG002489,chr1,173420603,173455595,+,NONMMUG002489,Aim2
lNONMMUG002499,chr1,174225163,174228491,+,NONMMUG002499,RPI002_011138
lNONMMUG002519,chr1,176745563,176746982,-,NONMMUG002519,NONMMUG002519
lNONMMUG002527,chr1,176921627,176923587,+,NONMMUG002527,NONMMUG002527
lNONMMUG002530,chr1,177035044,177036936,-,NONMMUG002530,NONMMUG002530
lNONMMUG002537,chr1,177257452,177278976,+,NONMMUG002537,NONMMUG002537
lNONMMUG002538,chr1,177307822,177343134,+,NONMMUG002538,NONMMUG002538
lNONMMUG002539,chr1,177428337,177443270,-,NONMMUG002539,AC120370.1
lNONMMUG002545,chr1,177679741,177729756,-,NONMMUG002545,NONMMUG002545
lNONMMUG002547,chr1,177792032,177795521,-,NONMMUG002547,NONMMUG002547
lNONMMUG002555,chr1,178315106,178319102,-,NONMMUG002555,NONMMUG002555
lNONMMUG002578,chr1,179400034,179401699,-,NONMMUG002578,NONMMUG002578
lNONMMUG002582,chr1,179546461,179547763,+,NONMMUG002582,Cnst
lNONMMUG002596,chr1,180125338,180129489,+,NONMMUG002596,NONMMUG002596
lNONMMUG002618,chr1,180813464,180817024,+,NONMMUG002618,Gm16067
lNONMMUG002626,chr1,180952063,180958150,-,NONMMUG002626,2210411M09Rik
lNONMMUG002633,chr1,181144256,181145970,+,NONMMUG002633,NONMMUG002633
lNONMMUG002642,chr1,181216529,181235114,+,NONMMUG002642,NONMMUG002642
lNONMMUG002643,chr1,181285768,181316149,+,NONMMUG002643,NONMMUG002643
lNONMMUG002664,chr1,182019674,182051527,+,NONMMUG002664,NONMMUG002664
lNONMMUG002716,chr1,185073593,185100823,-,NONMMUG002716,NONMMUG002716
lNONMMUG002726,chr1,185329450,185331858,+,NONMMUG002726,NONMMUG002726
lNONMMUG002728,chr1,185359460,185362866,-,NONMMUG002728,AC129195.1
lNONMMUG002730,chr1,185447115,185455568,-,NONMMUG002730,AC131980.1
lNONMMUG002738,chr1,186587243,186617166,+,NONMMUG002738,NONMMUG002738
lNONMMUG002746,chr1,186999057,187240357,+,NONMMUG002746,NONMMUG002746
lNONMMUG002757,chr1,187447876,187462782,+,NONMMUG002757,NONMMUG002757
lNONMMUG002761,chr1,187616851,187651824,-,NONMMUG002761,NONMMUG002761
lNONMMUG002768,chr1,188558058,188562065,+,NONMMUG002768,RPI002_009197
lNONMMUG002776,chr1,189343430,189344897,+,NONMMUG002776,NONMMUG002776
lNONMMUG002795,chr1,190374650,190392049,-,NONMMUG002795,NONMMUG002795
lNONMMUG002800,chr1,190691256,190697678,+,NONMMUG002800,NONMMUG002800
lNONMMUG002804,chr1,190928850,190935025,+,NONMMUG002804,Angel2
lNONMMUG002807,chr1,191025349,191029781,+,NONMMUG002807,NONMMUG002807
lNONMMUG002808,chr1,191029471,191044514,-,NONMMUG002808,NONMMUG002808
lNONMMUG002816,chr1,191224461,191293705,+,NONMMUG002816,D730003I15Rik
lNONMMUG002837,chr1,191570820,191575499,-,NONMMUG002837,RPI002_010527
lNONMMUG002843,chr1,191817380,191820331,+,NONMMUG002843,NONMMUG002843
lNONMMUG002846,chr1,191886129,191907527,-,NONMMUG002846,1700034H15Rik
lNONMMUG002850,chr1,192092336,192100275,+,NONMMUG002850,AC175315.1
lNONMMUG002854,chr1,192136895,192151026,+,NONMMUG002854,CAAA01201205.1
lNONMMUG002881,chr1,193650011,193788423,+,NONMMUG002881,NONMMUG002881
lNONMMUG002883,chr1,194175970,194223154,-,NONMMUG002883,NONMMUG002883
